location,snow_depth,snow_water_equivalent,elevation_band,elevation,month,year
Alamitos,6,1.4,9,9320,01,00
Alamitos,8,2.4,9,9320,02,00
Alamitos,10,4.7,9,9320,03,00
Alamitos,25,4.0,9,9320,01,01
Alamitos,26,7.4,9,9320,02,01
Alamitos,30,9.8,9,9320,03,01
Alamitos,15,3.3,9,9320,01,02
Alamitos,20,4.6,9,9320,02,02
Alamitos,7,2.2,9,9320,03,02
Alamitos,16,4.3,9,9320,01,03
Alamitos,16,4.0,9,9320,02,03
Alamitos,12,4.6,9,9320,03,03
Alamitos,15,4.5,9,9320,01,04
Alamitos,35,9.1,9,9320,02,04
Alamitos,9,3.0,9,9320,03,04
Alamitos,22,5.3,9,9320,01,05
Alamitos,28,6.4,9,9320,02,05
Alamitos,34,11.0,9,9320,03,05
Alamitos,7,2.5,9,9320,01,06
Alamitos,4,0.9,9,9320,02,06
Alamitos,0,0.0,9,9320,03,06
Alamitos,24,6.3,9,9320,01,07
Alamitos,23,6.4,9,9320,02,07
Alamitos,0,0.0,9,9320,03,07
Alamitos,26,7.2,9,9320,02,08
Alamitos,18,5.4,9,9320,03,08
Alamitos,18,5.6,9,9320,02,09
Alamitos,18,3.5,9,9320,01,10
Alamitos,18,3.4,9,9320,02,10
Alamitos,29,6.2,9,9320,03,10
Alamitos,31,8.4,9,9320,03,10
Alamitos,10,1.9,9,9320,01,11
Alamitos,12,3.4,9,9320,03,11
Alamitos,0,0.0,9,9320,03,11
Alamitos,14,2.1,9,9320,01,12
Alamitos,18,3.6,9,9320,02,12
Alamitos,13,1.5,9,9320,02,13
Alamitos,1,0.0,9,9320,03,13
Alamitos,0,0.0,9,9320,02,14
Alamitos,14,2.9,9,9320,03,14
Alamitos,14,2.6,9,9320,02,15
Alamitos,4,1.9,9,9320,03,15
Alamitos,27,5.6,9,9320,01,16
Alamitos,14,4.2,9,9320,02,16
Alamitos,1,0.2,9,9320,03,16
"Aztec #2",6,1.2,9,9880,01,00
"Aztec #2",2,0.6,9,9880,02,00
"Aztec #2",12,3.8,9,9880,03,00
"Aztec #2",15,2.5,9,9880,01,01
"Aztec #2",13,3.1,9,9880,02,01
"Aztec #2",18,5.3,9,9880,03,01
"Aztec #2",4,1.1,9,9880,01,02
"Aztec #2",8,2.0,9,9880,02,02
"Aztec #2",6,1.8,9,9880,03,02
"Aztec #2",10,3.2,9,9880,01,03
"Aztec #2",17,4.3,9,9880,02,03
"Aztec #2",15,4.6,9,9880,03,03
"Aztec #2",6,1.2,9,9880,01,04
"Aztec #2",18,4.2,9,9880,02,04
"Aztec #2",0,0.0,9,9880,03,04
"Aztec #2",28,6.0,9,9880,01,05
"Aztec #2",25,6.0,9,9880,02,05
"Aztec #2",27,8.0,9,9880,03,05
"Aztec #2",3,0.6,9,9880,01,06
"Aztec #2",2,0.7,9,9880,02,06
"Aztec #2",5,1.3,9,9880,03,06
"Aztec #2",20,6.6,9,9880,01,07
"Aztec #2",19,6.0,9,9880,02,07
"Aztec #2",8,0.3,9,9880,03,07
"Aztec #2",16,3.9,9,9880,01,08
"Aztec #2",21,6.0,9,9880,02,08
"Aztec #2",13,4.4,9,9880,04,08
"Aztec #2",11,3.6,9,9880,02,09
"Aztec #2",8,2.5,9,9880,02,09
"Aztec #2",0,0.0,9,9880,03,09
"Aztec #2",13,2.6,9,9880,01,10
"Aztec #2",23,5.6,9,9880,02,10
"Aztec #2",38,9.1,9,9880,03,10
"Aztec #2",0,0.0,9,9880,01,11
"Aztec #2",10,2.0,9,9880,02,11
"Aztec #2",0,0.0,9,9880,03,11
"Aztec #2",14,3.2,9,9880,01,12
"Aztec #2",14,3.2,9,9880,02,12
"Aztec #2",0,0.0,9,9880,03,12
"Aztec #2",8,2.0,9,9880,01,13
"Aztec #2",14,3.0,9,9880,02,13
"Aztec #2",5,1.8,9,9880,03,13
"Aztec #2",0,0.0,9,9880,01,14
"Aztec #2",0,0.0,9,9880,02,14
"Aztec #2",0,0.0,9,9880,03,14
"Aztec #2",8,1.6,9,9880,01,15
"Aztec #2",18,6.2,9,9880,03,15
"Aztec #2",19,3.0,9,9880,01,16
"Aztec #2",13,3.8,9,9880,02,16
"Aztec #2",2,0.4,9,9880,03,16
Bateman,,1.4,9,9300,01,00
Bateman,,4.1,9,9300,02,00
Bateman,,5.6,9,9300,03,00
Bateman,,8.5,9,9300,04,00
Bateman,,0.0,9,9300,05,00
Bateman,,0.0,9,9300,06,00
Bateman,15,3.5,9,9300,01,01
Bateman,29,6.1,9,9300,02,01
Bateman,39,9.0,9,9300,03,01
Bateman,25,9.7,9,9300,04,01
Bateman,,0.4,9,9300,05,01
Bateman,,0.0,9,9300,06,01
Bateman,18,4.0,9,9300,01,02
Bateman,27,5.4,9,9300,02,02
Bateman,25,6.3,9,9300,03,02
Bateman,12,4.9,9,9300,04,02
Bateman,0,0.0,9,9300,05,02
Bateman,0,0.0,9,9300,06,02
Bateman,,5.8,9,9300,01,03
Bateman,22,6.1,9,9300,02,03
Bateman,44,10.1,9,9300,03,03
Bateman,31,11.3,9,9300,04,03
Bateman,0,1.0,9,9300,05,03
Bateman,0,0.0,9,9300,06,03
Bateman,15,3.8,9,9300,01,04
Bateman,31,6.8,9,9300,02,04
Bateman,38,9.3,9,9300,03,04
Bateman,12,6.7,9,9300,04,04
Bateman,0,0.4,9,9300,05,04
Bateman,0,0.0,9,9300,06,04
Bateman,12,3.2,9,9300,01,05
Bateman,37,7.7,9,9300,02,05
Bateman,43,12.1,9,9300,03,05
Bateman,45,14.8,9,9300,04,05
Bateman,132,10.6,9,9300,05,05
Bateman,1,0.0,9,9300,06,05
Bateman,4,1.1,9,9300,01,06
Bateman,14,2.6,9,9300,02,06
Bateman,12,3.1,9,9300,03,06
Bateman,18,6.6,9,9300,04,06
Bateman,,0.0,9,9300,05,06
Bateman,,0.0,9,9300,06,06
Bateman,,3.6,9,9300,01,07
Bateman,,7.5,9,9300,02,07
Bateman,41,9.8,9,9300,03,07
Bateman,23,9.7,9,9300,04,07
Bateman,2,0.0,9,9300,05,07
Bateman,1,0.0,9,9300,06,07
Bateman,26,6.3,9,9300,01,08
Bateman,45,11.3,9,9300,02,08
Bateman,54,16.2,9,9300,03,08
Bateman,38,15.8,9,9300,04,08
Bateman,9,2.4,9,9300,05,08
Bateman,1,0.0,9,9300,06,08
Bateman,35,8.5,9,9300,01,09
Bateman,35,10.4,9,9300,02,09
Bateman,33,11.4,9,9300,03,09
Bateman,29,12.3,9,9300,04,09
Bateman,1,0.2,9,9300,05,09
Bateman,1,0.0,9,9300,06,09
Bateman,23,4.0,9,9300,01,10
Bateman,32,6.6,9,9300,02,10
Bateman,42,9.3,9,9300,03,10
Bateman,37,12.1,9,9300,04,10
Bateman,9,3.2,9,9300,05,10
Bateman,0,0.0,9,9300,06,10
Bateman,24,3.9,9,9300,01,11
Bateman,17,4.9,9,9300,02,11
Bateman,20,6.1,9,9300,03,11
Bateman,9,3.0,9,9300,04,11
Bateman,0,0.0,9,9300,05,11
Bateman,0,0.0,9,9300,06,11
Bateman,19,4.1,9,9300,01,12
Bateman,25,5.5,9,9300,02,12
Bateman,34,7.8,9,9300,03,12
Bateman,12,4.3,9,9300,04,12
Bateman,0,0.0,9,9300,05,12
Bateman,0,0.0,9,9300,06,12
Bateman,22,3.6,9,9300,01,13
Bateman,23,5.8,9,9300,02,13
Bateman,33,8.0,9,9300,03,13
Bateman,21,7.7,9,9300,04,13
Bateman,0,0.0,9,9300,05,13
Bateman,0,0.0,9,9300,06,13
Bateman,16,3.4,9,9300,01,14
Bateman,15,3.8,9,9300,02,14
Bateman,20,4.8,9,9300,03,14
Bateman,17,5.3,9,9300,04,14
Bateman,0,0.0,9,9300,05,14
Bateman,0,0.0,9,9300,06,14
Bateman,18,4.2,9,9300,01,15
Bateman,32,6.8,9,9300,02,15
Bateman,50,10.3,9,9300,03,15
Bateman,19,7.0,9,9300,04,15
Bateman,0,0.0,9,9300,05,15
Bateman,0,0.0,9,9300,06,15
