location,snow_depth,snow_water_equivalent,elevation_band,elevation,month,year
"Buck Spring",3,0.3,7,7400,01,00
"Buck Spring",0,0.0,7,7400,01,00
"Buck Spring",0,0.0,7,7400,02,00
"Buck Spring",0,0.0,7,7400,03,00
"Buck Spring",2,0.4,7,7400,01,01
"Buck Spring",12,2.2,7,7400,02,01
"Buck Spring",9,2.4,7,7400,03,01
"Buck Spring",0,0.0,7,7400,03,01
"Buck Spring",5,1.4,7,7400,12,01
"Buck Spring",8,1.6,7,7400,01,02
"Buck Spring",0,0.0,7,7400,02,02
"Buck Spring",0,0.0,7,7400,03,02
"Buck Spring",11,2.0,7,7400,12,02
"Buck Spring",0,0.0,7,7400,01,03
"Buck Spring",20,2.4,7,7400,02,03
"Buck Spring",0,0.0,7,7400,03,03
"Buck Spring",3,0.4,7,7400,12,03
"Buck Spring",11,1.4,7,7400,02,04
"Buck Spring",3,0.8,7,7400,02,04
"Buck Spring",0,0.0,7,7400,03,04
"Buck Spring",0,0.0,7,7400,12,04
"Buck Spring",7,1.2,7,7400,01,05
"Buck Spring",2,0.8,7,7400,02,05
"Buck Spring",0,0.0,7,7400,03,05
"Buck Spring",0,0.0,7,7400,12,05
"Buck Spring",0,0.0,7,7400,01,06
"Buck Spring",0,0.0,7,7400,02,06
"Buck Spring",1,0.4,7,7400,03,06
"Buck Spring",0,0.0,7,7400,12,06
"Buck Spring",11,1.8,7,7400,01,07
"Buck Spring",4,1.1,7,7400,02,07
"Buck Spring",0,0.0,7,7400,03,07
"Buck Spring",10,3.8,7,7400,12,07
"Buck Spring",10,3.2,7,7400,01,08
"Buck Spring",11,1.9,7,7400,02,08
"Buck Spring",0,0.0,7,7400,03,08
"Buck Spring",23,6.9,7,7400,12,08
"Buck Spring",16,6.0,7,7400,01,09
"Buck Spring",9,3.0,7,7400,02,09
"Buck Spring",0,0.0,7,7400,03,09
"Buck Spring",13,3.6,7,7400,01,10
"Buck Spring",33,9.4,7,7400,01,10
"Buck Spring",28,9.4,7,7400,02,10
"Buck Spring",9,4.2,7,7400,03,10
"Buck Spring",12,4.4,7,7400,12,11
"Buck Spring",6,2.6,7,7400,01,12
"Buck Spring",4,1.0,7,7400,02,12
"Buck Spring",0,0.0,7,7400,03,12
"Buck Spring",11,2.0,7,7400,12,12
"Buck Spring",7,1.8,7,7400,02,13
"Buck Spring",6,1.6,7,7400,02,13
"Buck Spring",0,0.0,7,7400,03,13
"Buck Spring",2,0.6,7,7400,12,13
"Buck Spring",0,0.0,7,7400,01,14
"Buck Spring",0,0.0,7,7400,02,14
"Buck Spring",0,0.0,7,7400,03,14
"Buck Spring",0,0.0,7,7400,01,15
"Buck Spring",0,0.0,7,7400,02,15
"Buck Spring",0,0.0,7,7400,03,15
"Buck Spring",9,2.2,7,7400,12,15
"Buck Spring",10,2.6,7,7400,01,16
"Buck Spring",0,0.0,7,7400,02,16
"Buck Spring",0,0.0,7,7400,03,16
