location,snow_depth,snow_water_equivalent,elevation_band,elevation,month,year
"Cheese Springs",5,0.3,8,8700,01,00
"Cheese Springs",0,0.0,8,8700,02,00
"Cheese Springs",4,1.0,8,8700,02,00
"Cheese Springs",5,1.5,8,8700,03,00
"Cheese Springs",16,4.8,8,8700,01,01
"Cheese Springs",26,5.6,8,8700,02,01
"Cheese Springs",30,7.3,8,8700,03,01
"Cheese Springs",12,3.7,8,8700,03,01
"Cheese Springs",12,2.3,8,8700,12,01
"Cheese Springs",18,3.6,8,8700,02,02
"Cheese Springs",14,3.1,8,8700,02,02
"Cheese Springs",0,0.0,8,8700,03,02
"Cheese Springs",13,2.8,8,8700,01,03
"Cheese Springs",13,2.9,8,8700,01,03
"Cheese Springs",28,4.8,8,8700,02,03
"Cheese Springs",18,6.9,8,8700,03,03
"Cheese Springs",6,1.1,8,8700,01,04
"Cheese Springs",13,2.4,8,8700,01,04
"Cheese Springs",15,3.6,8,8700,02,04
"Cheese Springs",0,0.0,8,8700,03,04
"Cheese Springs",7,1.2,8,8700,12,04
"Cheese Springs",16,3.6,8,8700,01,05
"Cheese Springs",21,6.3,8,8700,03,05
"Cheese Springs",20,7.1,8,8700,03,05
"Cheese Springs",0,0.0,8,8700,12,05
"Cheese Springs",5,0.7,8,8700,01,06
"Cheese Springs",0,0.0,8,8700,02,06
"Cheese Springs",5,1.0,8,8700,03,06
"Cheese Springs",6,1.2,8,8700,12,06
"Cheese Springs",18,2.7,8,8700,01,07
"Cheese Springs",20,2.3,8,8700,02,07
"Cheese Springs",0,0.0,8,8700,03,07
"Cheese Springs",12,2.3,8,8700,12,07
"Cheese Springs",19,4.5,8,8700,01,08
"Cheese Springs",24,7.3,8,8700,02,08
"Cheese Springs",5,1.6,8,8700,03,08
"Cheese Springs",19,4.4,8,8700,12,08
"Cheese Springs",17,5.2,8,8700,01,09
"Cheese Springs",18,6.2,8,8700,02,09
"Cheese Springs",3,1.1,8,8700,03,09
"Cheese Springs",13,2.7,8,8700,12,09
"Cheese Springs",40,8.5,8,8700,01,10
"Cheese Springs",38,10.7,8,8700,02,10
"Cheese Springs",33,11.3,8,8700,03,10
"Cheese Springs",17,3.6,8,8700,12,11
"Cheese Springs",20,4.3,8,8700,01,12
"Cheese Springs",24,4.9,8,8700,02,12
"Cheese Springs",7,2.1,8,8700,03,12
"Cheese Springs",13,2.4,8,8700,12,12
"Cheese Springs",14,3.4,8,8700,01,13
"Cheese Springs",20,5.2,8,8700,02,13
"Cheese Springs",7,2.8,8,8700,03,13
"Cheese Springs",9,1.3,8,8700,12,13
"Cheese Springs",7,1.2,8,8700,01,14
"Cheese Springs",2,0.5,8,8700,02,14
"Cheese Springs",0,0.0,8,8700,03,14
"Cheese Springs",5,0.5,8,8700,12,14
"Cheese Springs",10,1.9,8,8700,01,15
"Cheese Springs",7,2.0,8,8700,02,15
"Cheese Springs",0,0.0,8,8700,03,15
"Cheese Springs",15,3.1,8,8700,12,15
"Cheese Springs",18,4.2,8,8700,01,16
"Cheese Springs",0,0.0,8,8700,03,16
