location,snow_depth,snow_water_equivalent,elevation_band,elevation,month,year
"Carson Pass",92,21.3,8,8353,01,05
"Carson Pass",97,33.2,8,8353,02,05
"Carson Pass",115,40.1,8,8353,03,05
"Carson Pass",117,48.2,8,8353,04,05
"Carson Pass",95,48.6,8,8353,05,05
"Carson Pass",49,27.5,8,8353,06,05
"Carson Pass",61,19.6,8,8353,01,06
"Carson Pass",83,27.6,8,8353,02,06
"Carson Pass",93,35.2,8,8353,03,06
"Carson Pass",138,49.6,8,8353,04,06
"Carson Pass",120,57.3,8,8353,05,06
"Carson Pass",52,24.5,8,8353,06,06
"Carson Pass",28,7.6,8,8353,01,07
"Carson Pass",30,9.5,8,8353,02,07
"Carson Pass",81,21.0,8,8353,03,07
"Carson Pass",46,18.6,8,8353,04,07
"Carson Pass",27,11.7,8,8353,05,07
"Carson Pass",0,0.0,8,8353,06,07
"Carson Pass",24,6.5,8,8353,01,08
"Carson Pass",75,20.5,8,8353,02,08
"Carson Pass",78,26.9,8,8353,03,08
"Carson Pass",58,26.0,8,8353,04,08
"Carson Pass",30,15.5,8,8353,05,08
"Carson Pass",0,0.0,8,8353,06,08
"Carson Pass",37,9.8,8,8353,01,09
"Carson Pass",41,13.1,8,8353,02,09
"Carson Pass",73,22.8,8,8353,03,09
"Carson Pass",74,31.9,8,8353,04,09
"Carson Pass",49,24.0,8,8353,05,09
"Carson Pass",0,0.0,8,8353,06,09
"Carson Pass",36,9.8,8,8353,01,10
"Carson Pass",72,20.8,8,8353,02,10
"Carson Pass",87,26.7,8,8353,03,10
"Carson Pass",82,31.8,8,8353,04,10
"Carson Pass",78,35.9,8,8353,05,10
"Carson Pass",50,26.1,8,8353,06,10
"Carson Pass",80,23.3,8,8353,01,11
"Carson Pass",75,25.3,8,8353,02,11
"Carson Pass",107,35.2,8,8353,03,11
"Carson Pass",130,53.8,8,8353,04,11
"Carson Pass",101,51.9,8,8353,05,11
"Carson Pass",74,40.8,8,8353,06,11
"Carson Pass",6,3.0,8,8353,01,12
"Carson Pass",23,7.8,8,8353,02,12
"Carson Pass",36,10.4,8,8353,03,12
"Carson Pass",55,18.7,8,8353,04,12
"Carson Pass",26,13.0,8,8353,05,12
"Carson Pass",0,0.0,8,8353,06,12
"Carson Pass",75,21.3,8,8353,01,13
"Carson Pass",66,23.4,8,8353,02,13
"Carson Pass",63,24.6,8,8353,03,13
"Carson Pass",54,23.8,8,8353,04,13
"Carson Pass",22,10.0,8,8353,05,13
"Carson Pass",0,0.0,8,8353,06,13
"Carson Pass",13,3.8,8,8353,01,14
"Carson Pass",25,6.3,8,8353,02,14
"Carson Pass",64,16.3,8,8353,03,14
"Carson Pass",65,19.5,8,8353,04,14
"Carson Pass",27,11.9,8,8353,05,14
"Carson Pass",0,0.0,8,8353,06,14
"Carson Pass",28,7.4,8,8353,01,15
"Carson Pass",24,7.7,8,8353,02,15
"Carson Pass",41,13.1,8,8353,03,15
"Carson Pass",11,5.1,8,8353,04,15
"Carson Pass",0,0.0,8,8353,05,15
"Carson Pass",0,0.0,8,8353,06,15
"Carson Pass",50,13.2,8,8353,01,16
"Carson Pass",76,23.5,8,8353,02,16
"Carson Pass",64,24.6,8,8353,03,16
"Carson Pass",76,32.4,8,8353,04,16
"Carson Pass",59,24.0,8,8353,05,16
"Carson Pass",6,1.6,8,8353,06,16
