location,snow_depth,snow_water_equivalent,elevation_band,elevation,month,year
"Lake Fordyce",43,12.8,6,6500,01,00
"Lake Fordyce",93,30.2,6,6500,02,00
"Lake Fordyce",81,37.4,6,6500,03,00
"Lake Fordyce",54,15.3,6,6500,01,01
"Lake Fordyce",89,26.8,6,6500,02,01
"Lake Fordyce",62,29.0,6,6500,03,01
"Lake Fordyce",61,25.8,6,6500,01,02
"Lake Fordyce",81,29.0,6,6500,01,02
"Lake Fordyce",79,32.9,6,6500,02,02
"Lake Fordyce",102,40.1,6,6500,03,02
"Lake Fordyce",66,32.1,6,6500,05,02
"Lake Fordyce",43,19.1,6,6500,01,03
"Lake Fordyce",51,23.8,6,6500,02,03
"Lake Fordyce",46,23.8,6,6500,03,03
"Lake Fordyce",70,31.8,6,6500,05,03
"Lake Fordyce",78,27.1,6,6500,01,04
"Lake Fordyce",111,43.3,6,6500,03,04
"Lake Fordyce",71,35.6,6,6500,03,04
"Lake Fordyce",44,25.0,6,6500,04,04
"Lake Fordyce",83,32.8,6,6500,01,05
"Lake Fordyce",83,35.8,6,6500,02,05
"Lake Fordyce",107,45.8,6,6500,03,05
"Lake Fordyce",82,44.0,6,6500,04,05
"Lake Fordyce",43,16.9,6,6500,02,06
"Lake Fordyce",18,7.2,6,6500,01,07
"Lake Fordyce",76,20.3,6,6500,03,07
"Lake Fordyce",42,16.4,6,6500,03,07
"Lake Fordyce",31,12.0,6,6500,04,07
"Lake Fordyce",93,30.7,6,6500,02,08
"Lake Fordyce",96,37.6,6,6500,02,08
"Lake Fordyce",71,34.3,6,6500,03,08
"Lake Fordyce",33,18.3,6,6500,05,08
"Lake Fordyce",38,13.9,6,6500,01,09
"Lake Fordyce",71,25.3,6,6500,02,09
"Lake Fordyce",77,34.2,6,6500,03,09
"Lake Fordyce",50,23.0,6,6500,04,09
"Lake Fordyce",83,27.2,6,6500,02,10
"Lake Fordyce",96,35.0,6,6500,02,10
"Lake Fordyce",95,38.5,6,6500,03,10
"Lake Fordyce",95,46.5,6,6500,05,10
"Lake Fordyce",67,27.1,6,6500,01,11
"Lake Fordyce",124,43.3,6,6500,02,11
"Lake Fordyce",164,62.2,6,6500,04,11
"Lake Fordyce",123,56.7,6,6500,05,11
"Lake Fordyce",22,4.9,6,6500,01,12
"Lake Fordyce",14,5.7,6,6500,02,12
"Lake Fordyce",46,19.3,6,6500,03,12
"Lake Fordyce",37,16.6,6,6500,04,12
"Lake Fordyce",47,18.7,6,6500,01,13
"Lake Fordyce",47,18.7,6,6500,01,13
"Lake Fordyce",47,19.2,6,6500,02,13
"Lake Fordyce",33,16.9,6,6500,03,13
"Lake Fordyce",0,0.0,6,6500,04,13
"Lake Fordyce",0,0.0,6,6500,01,14
"Lake Fordyce",2,1.0,6,6500,02,14
"Lake Fordyce",10,1.5,6,6500,03,14
"Lake Fordyce",0,0.0,6,6500,04,14
"Lake Fordyce",11,4.5,6,6500,01,15
"Lake Fordyce",0,0.0,6,6500,02,15
"Lake Fordyce",0,0.0,6,6500,03,15
"Lake Fordyce",0,0.0,6,6500,04,15
"Lake Fordyce",70,24.0,6,6500,01,16
"Lake Fordyce",66,27.5,6,6500,02,16
"Lake Fordyce",72,33.0,6,6500,03,16
"Lake Fordyce",0,0.0,6,6500,04,16
