location,snow_depth,snow_water_equivalent,elevation_band,elevation,month,year
"Lake Lucille",150,46.7,8,8188,02,00
"Lake Lucille",135,52.2,8,8188,03,00
"Lake Lucille",99,29.4,8,8188,02,01
"Lake Lucille",77,29.1,8,8188,03,01
"Lake Lucille",116,48.1,8,8188,02,02
"Lake Lucille",147,64.2,8,8188,03,02
"Lake Lucille",113,42.6,8,8188,02,03
"Lake Lucille",108,48.0,8,8188,03,03
"Lake Lucille",160,50.0,8,8188,02,04
"Lake Lucille",111,47.1,8,8188,03,04
"Lake Lucille",141,52.8,8,8188,02,05
"Lake Lucille",181,69.2,8,8188,03,05
"Lake Lucille",131,54.0,8,8188,02,06
"Lake Lucille",222,96.2,8,8188,04,06
"Lake Lucille",127,33.3,8,8188,03,07
"Lake Lucille",95,30.8,8,8188,03,07
"Lake Lucille",129,44.2,8,8188,02,08
"Lake Lucille",112,48.7,8,8188,04,08
"Lake Lucille",102,32.2,8,8188,02,09
"Lake Lucille",130,48.3,8,8188,03,09
"Lake Lucille",104,35.0,8,8188,02,10
"Lake Lucille",138,51.0,8,8188,04,10
"Lake Lucille",165,61.0,8,8188,02,11
"Lake Lucille",210,88.2,8,8188,04,11
"Lake Lucille",67,19.0,8,8188,03,12
"Lake Lucille",108,37.2,8,8188,04,12
"Lake Lucille",99,40.5,8,8188,03,13
"Lake Lucille",96,31.1,8,8188,03,14
"Lake Lucille",52,19.4,8,8188,03,15
"Lake Lucille",45,18.1,8,8188,03,15
"Lake Lucille",107,43.4,8,8188,02,16
"Lake Lucille",131,60.8,8,8188,04,16
