location,snow_depth,snow_water_equivalent,elevation_band,elevation,month,year
"Tahoe City Cross",,0.8,6,6797,01,00
"Tahoe City Cross",,11.2,6,6797,02,00
"Tahoe City Cross",,17.2,6,6797,03,00
"Tahoe City Cross",,11.8,6,6797,04,00
"Tahoe City Cross",,0.0,6,6797,05,00
"Tahoe City Cross",,0.0,6,6797,06,00
"Tahoe City Cross",,2.3,6,6797,01,01
"Tahoe City Cross",,3.9,6,6797,02,01
"Tahoe City Cross",,8.6,6,6797,03,01
"Tahoe City Cross",,1.1,6,6797,04,01
"Tahoe City Cross",,0.0,6,6797,05,01
"Tahoe City Cross",,0.0,6,6797,06,01
"Tahoe City Cross",,9.8,6,6797,01,02
"Tahoe City Cross",,11.9,6,6797,02,02
"Tahoe City Cross",,11.1,6,6797,03,02
"Tahoe City Cross",,11.3,6,6797,04,02
"Tahoe City Cross",,0.0,6,6797,05,02
"Tahoe City Cross",,0.0,6,6797,06,02
"Tahoe City Cross",,8.7,6,6797,01,03
"Tahoe City Cross",,6.6,6,6797,02,03
"Tahoe City Cross",,7.2,6,6797,03,03
"Tahoe City Cross",,0.0,6,6797,04,03
"Tahoe City Cross",,2.4,6,6797,05,03
"Tahoe City Cross",,0.0,6,6797,06,03
"Tahoe City Cross",40,7.7,6,6797,01,04
"Tahoe City Cross",33,10.3,6,6797,02,04
"Tahoe City Cross",56,16.2,6,6797,03,04
"Tahoe City Cross",11,2.7,6,6797,04,04
"Tahoe City Cross",0,0.0,6,6797,05,04
"Tahoe City Cross",0,0.0,6,6797,06,04
"Tahoe City Cross",53,7.5,6,6797,01,05
"Tahoe City Cross",46,14.9,6,6797,02,05
"Tahoe City Cross",41,16.2,6,6797,03,05
"Tahoe City Cross",40,14.7,6,6797,04,05
"Tahoe City Cross",12,2.7,6,6797,05,05
"Tahoe City Cross",0,0.0,6,6797,06,05
"Tahoe City Cross",6,1.4,6,6797,01,06
"Tahoe City Cross",27,7.5,6,6797,02,06
"Tahoe City Cross",21,5.8,6,6797,03,06
"Tahoe City Cross",42,13.2,6,6797,04,06
"Tahoe City Cross",15,4.9,6,6797,05,06
"Tahoe City Cross",0,0.0,6,6797,06,06
"Tahoe City Cross",12,3.0,6,6797,01,07
"Tahoe City Cross",11,4.5,6,6797,02,07
"Tahoe City Cross",45,7.2,6,6797,03,07
"Tahoe City Cross",0,0.0,6,6797,04,07
"Tahoe City Cross",0,0.0,6,6797,05,07
"Tahoe City Cross",0,0.0,6,6797,06,07
"Tahoe City Cross",18,3.6,6,6797,01,08
"Tahoe City Cross",59,14.9,6,6797,02,08
"Tahoe City Cross",48,16.8,6,6797,03,08
"Tahoe City Cross",21,7.9,6,6797,04,08
"Tahoe City Cross",0,0.0,6,6797,05,08
"Tahoe City Cross",0,0.0,6,6797,06,08
"Tahoe City Cross",29,7.2,6,6797,01,09
"Tahoe City Cross",20,7.9,6,6797,02,09
"Tahoe City Cross",25,10.6,6,6797,03,09
"Tahoe City Cross",19,7.2,6,6797,04,09
"Tahoe City Cross",0,0.0,6,6797,05,09
"Tahoe City Cross",0,0.0,6,6797,06,09
"Tahoe City Cross",24,5.5,6,6797,01,10
"Tahoe City Cross",41,11.7,6,6797,02,10
"Tahoe City Cross",36,13.1,6,6797,03,10
"Tahoe City Cross",32,9.9,6,6797,04,10
"Tahoe City Cross",16,5.3,6,6797,05,10
"Tahoe City Cross",0,0.0,6,6797,06,10
"Tahoe City Cross",48,12.6,6,6797,01,11
"Tahoe City Cross",34,13.2,6,6797,02,11
"Tahoe City Cross",60,19.8,6,6797,03,11
"Tahoe City Cross",69,28.5,6,6797,04,11
"Tahoe City Cross",30,13.9,6,6797,05,11
"Tahoe City Cross",0,0.0,6,6797,06,11
"Tahoe City Cross",0,0.0,6,6797,01,12
"Tahoe City Cross",9,2.7,6,6797,02,12
"Tahoe City Cross",22,2.7,6,6797,03,12
"Tahoe City Cross",24,4.5,6,6797,04,12
"Tahoe City Cross",0,0.0,6,6797,05,12
"Tahoe City Cross",0,0.0,6,6797,06,12
"Tahoe City Cross",33,6.3,6,6797,01,13
"Tahoe City Cross",18,6.2,6,6797,02,13
"Tahoe City Cross",10,3.5,6,6797,03,13
"Tahoe City Cross",0,0.0,6,6797,04,13
"Tahoe City Cross",0,0.0,6,6797,05,13
"Tahoe City Cross",0,0.0,6,6797,06,13
"Tahoe City Cross",6,1.3,6,6797,01,14
"Tahoe City Cross",3,0.4,6,6797,02,14
"Tahoe City Cross",5,0.9,6,6797,03,14
"Tahoe City Cross",10,0.8,6,6797,04,14
"Tahoe City Cross",0,0.0,6,6797,05,14
"Tahoe City Cross",0,0.0,6,6797,06,14
"Tahoe City Cross",6,1.3,6,6797,01,15
"Tahoe City Cross",0,0.0,6,6797,02,15
"Tahoe City Cross",7,0.8,6,6797,03,15
"Tahoe City Cross",0,0.0,6,6797,04,15
"Tahoe City Cross",0,0.0,6,6797,05,15
"Tahoe City Cross",0,0.0,6,6797,06,15
"Tahoe City Cross",,6.6,6,6797,01,16
"Tahoe City Cross",35,11.3,6,6797,02,16
"Tahoe City Cross",12,5.0,6,6797,03,16
"Tahoe City Cross",0,0.0,6,6797,04,16
"Tahoe City Cross",0,0.0,6,6797,05,16
"Tahoe City Cross",0,0.0,6,6797,06,16
