location,snow_depth,snow_water_equivalent,elevation_band,elevation,month,year
"Left Hand",25,6.3,9,9900,01,12
"Left Hand",37,9.7,9,9900,02,12
"Left Hand",19,5.5,9,9900,03,12
"Left Hand",0,0.0,9,9900,04,12
"Left Hand",15,2.8,9,9900,01,13
"Left Hand",26,5.0,9,9900,02,13
"Left Hand",28,5.3,9,9900,03,13
"Left Hand",31,10.6,9,9900,04,13
"Left Hand",28,6.0,9,9900,01,14
"Left Hand",46,11.7,9,9900,02,14
"Left Hand",46,14.8,9,9900,03,14
"Left Hand",28,10.8,9,9900,04,14
"Left Hand",20,3.2,9,9900,02,15
"Left Hand",41,8.7,9,9900,03,15
"Left Hand",28,8.6,9,9900,04,15
"Left Hand",34,10.6,9,9900,04,15
"Left Hand",26,6.0,9,9900,01,16
"Left Hand",32,7.3,9,9900,03,16
"Left Hand",44,11.4,9,9900,04,16
"Left Hand",36,10.0,9,9900,04,16
