location,snow_depth,snow_water_equivalent,elevation_band,elevation,month,year
"Moon Pass",17,3.9,10,11140,01,09
"Moon Pass",19,4.3,10,11140,02,09
"Moon Pass",19,4.9,10,11140,03,09
"Moon Pass",26,6.0,10,11140,04,09
"Moon Pass",13,3.6,10,11140,05,09
"Moon Pass",0,0.0,10,11140,06,09
"Moon Pass",16,3.0,10,11140,01,10
"Moon Pass",20,4.2,10,11140,02,10
"Moon Pass",27,5.4,10,11140,03,10
"Moon Pass",31,7.9,10,11140,04,10
"Moon Pass",10,2.5,10,11140,05,10
"Moon Pass",0,0.0,10,11140,06,10
"Moon Pass",15,1.9,10,11140,01,11
"Moon Pass",15,2.9,10,11140,02,11
"Moon Pass",22,4.6,10,11140,03,11
"Moon Pass",21,5.3,10,11140,04,11
"Moon Pass",10,3.0,10,11140,05,11
"Moon Pass",0,0.0,10,11140,06,11
"Moon Pass",15,2.7,10,11140,01,12
"Moon Pass",17,3.1,10,11140,02,12
"Moon Pass",28,4.7,10,11140,03,12
"Moon Pass",15,4.2,10,11140,04,12
"Moon Pass",0,0.0,10,11140,05,12
"Moon Pass",0,0.0,10,11140,06,12
"Moon Pass",14,2.1,10,11140,01,13
"Moon Pass",19,3.3,10,11140,02,13
"Moon Pass",25,4.4,10,11140,03,13
"Moon Pass",22,4.9,10,11140,04,13
"Moon Pass",3,1.2,10,11140,05,13
"Moon Pass",0,0.0,10,11140,06,13
"Moon Pass",15,2.7,10,11140,01,14
"Moon Pass",27,4.0,10,11140,02,14
"Moon Pass",25,5.1,10,11140,03,14
"Moon Pass",28,6.3,10,11140,04,14
"Moon Pass",2,0.9,10,11140,05,14
"Moon Pass",0,0.0,10,11140,06,14
"Moon Pass",19,3.2,10,11140,01,15
"Moon Pass",20,4.0,10,11140,02,15
"Moon Pass",29,6.0,10,11140,03,15
"Moon Pass",14,4.5,10,11140,04,15
"Moon Pass",0,0.0,10,11140,05,15
"Moon Pass",0,0.0,10,11140,06,15
"Moon Pass",24,4.2,10,11140,01,16
"Moon Pass",33,6.2,10,11140,02,16
"Moon Pass",31,7.3,10,11140,03,16
"Moon Pass",30,7.8,10,11140,04,16
"Moon Pass",12,5.3,10,11140,05,16
"Moon Pass",0,0.0,10,11140,06,16
