location,snow_depth,snow_water_equivalent,elevation_band,elevation,month,year
"Willow Creek Pass",35,7.2,9,9540,01,00
"Willow Creek Pass",43,11.8,9,9540,02,00
"Willow Creek Pass",45,13.6,9,9540,03,00
"Willow Creek Pass",35,14.0,9,9540,04,00
"Willow Creek Pass",28,6.8,9,9540,01,04
"Willow Creek Pass",31,8.6,9,9540,02,04
"Willow Creek Pass",30,8.5,9,9540,03,04
"Willow Creek Pass",16,7.2,9,9540,04,04
"Willow Creek Pass",38,10.5,9,9540,01,05
"Willow Creek Pass",43,12.5,9,9540,02,05
"Willow Creek Pass",52,14.4,9,9540,03,05
"Willow Creek Pass",37,11.4,9,9540,04,05
"Willow Creek Pass",36,8.8,9,9540,01,06
"Willow Creek Pass",37,10.3,9,9540,02,06
"Willow Creek Pass",40,10.5,9,9540,03,06
"Willow Creek Pass",24,8.0,9,9540,04,06
"Willow Creek Pass",34,8.2,9,9540,01,07
"Willow Creek Pass",50,10.8,9,9540,02,07
"Willow Creek Pass",39,10.8,9,9540,03,07
"Willow Creek Pass",36,10.8,9,9540,04,07
"Willow Creek Pass",43,10.1,9,9540,01,08
"Willow Creek Pass",51,13.1,9,9540,02,08
"Willow Creek Pass",46,13.2,9,9540,03,08
"Willow Creek Pass",49,16.3,9,9540,04,08
"Willow Creek Pass",24,5.1,9,9540,01,10
"Willow Creek Pass",32,6.7,9,9540,02,10
"Willow Creek Pass",31,7.8,9,9540,03,10
"Willow Creek Pass",38,9.8,9,9540,04,10
"Willow Creek Pass",26,5.2,9,9540,01,12
"Willow Creek Pass",34,7.3,9,9540,02,12
"Willow Creek Pass",22,6.6,9,9540,03,12
"Willow Creek Pass",0,0.0,9,9540,04,12
"Willow Creek Pass",29,5.8,9,9540,01,13
"Willow Creek Pass",35,8.2,9,9540,02,13
"Willow Creek Pass",37,9.7,9,9540,03,13
"Willow Creek Pass",42,13.9,9,9540,04,13
"Willow Creek Pass",34,8.1,9,9540,01,14
"Willow Creek Pass",43,10.7,9,9540,02,14
"Willow Creek Pass",49,14.3,9,9540,03,14
"Willow Creek Pass",38,9.4,9,9540,04,14
"Willow Creek Pass",23,5.6,9,9540,01,15
"Willow Creek Pass",35,8.0,9,9540,02,15
"Willow Creek Pass",27,8.3,9,9540,03,15
"Willow Creek Pass",21,7.6,9,9540,05,15
"Willow Creek Pass",35,7.8,9,9540,01,16
"Willow Creek Pass",39,8.9,9,9540,02,16
"Willow Creek Pass",60,15.2,9,9540,03,16
"Willow Creek Pass",41,13.9,9,9540,04,16
