location,snow_depth,snow_water_equivalent,elevation_band,elevation,month,year
"Battle Creek Am",13,3.5,5,5710,01,00
"Battle Creek Am",10,3.0,5,5710,02,00
"Battle Creek Am",3,1.5,5,5710,03,00
"Battle Creek Am",12,2.7,5,5710,01,01
"Battle Creek Am",15,3.9,5,5710,02,01
"Battle Creek Am",0,0.0,5,5710,03,01
"Battle Creek Am",21,6.7,5,5710,01,02
"Battle Creek Am",22,8.4,5,5710,02,02
"Battle Creek Am",21,8.6,5,5710,03,02
"Battle Creek Am",,1.0,5,5710,03,03
"Battle Creek Am",0,0.0,5,5710,02,03
"Battle Creek Am",0,0.0,5,5710,03,03
"Battle Creek Am",22,6.5,5,5710,01,04
"Battle Creek Am",0,0.0,5,5710,03,04
"Battle Creek Am",6,2.2,5,5710,02,05
"Battle Creek Am",0,0.0,5,5710,03,05
"Battle Creek Am",8,2.4,5,5710,03,05
"Battle Creek Am",18,4.7,5,5710,01,06
"Battle Creek Am",20,6.5,5,5710,02,06
"Battle Creek Am",16,5.8,5,5710,03,06
"Battle Creek Am",8,2.2,5,5710,01,07
"Battle Creek Am",3,0.8,5,5710,03,07
"Battle Creek Am",0,0.0,5,5710,03,07
"Battle Creek Am",31,7.4,5,5710,02,08
"Battle Creek Am",24,7.4,5,5710,02,08
"Battle Creek Am",19,6.6,5,5710,04,08
"Battle Creek Am",22,6.8,5,5710,01,09
"Battle Creek Am",10,3.7,5,5710,02,09
"Battle Creek Am",0,0.0,5,5710,04,09
"Battle Creek Am",13,3.0,5,5710,01,10
"Battle Creek Am",18,5.2,5,5710,02,10
"Battle Creek Am",11,4.2,5,5710,03,10
"Battle Creek Am",3,1.0,5,5710,01,12
"Battle Creek Am",3,1.1,5,5710,02,12
"Battle Creek Am",0,0.0,5,5710,04,12
"Battle Creek Am",4,1.4,5,5710,01,14
"Battle Creek Am",0,0.0,5,5710,03,14
"Battle Creek Am",0,0.0,5,5710,02,15
"Battle Creek Am",0,0.0,5,5710,02,15
"Battle Creek Am",0,0.0,5,5710,04,15
"Battle Creek Am",13,3.3,5,5710,02,16
"Battle Creek Am",7,2.8,5,5710,02,16
"Battle Creek Am",0,0.0,5,5710,04,16
