location,snow_depth,snow_water_equivalent,elevation_band,elevation,month,year
"Emigration Canyon",40,12.3,6,6500,02,00
"Emigration Canyon",32,11.8,6,6500,03,00
"Emigration Canyon",34,8.3,6,6500,02,01
"Emigration Canyon",14,4.9,6,6500,03,01
"Emigration Canyon",33,8.7,6,6500,02,02
"Emigration Canyon",26,10.1,6,6500,03,02
"Emigration Canyon",31,8.4,6,6500,02,03
"Emigration Canyon",18,6.6,6,6500,03,03
"Emigration Canyon",42,11.5,6,6500,03,04
"Emigration Canyon",13,4.8,6,6500,04,04
"Emigration Canyon",40,10.6,6,6500,02,05
"Emigration Canyon",31,11.6,6,6500,04,05
"Emigration Canyon",46,14.4,6,6500,03,06
"Emigration Canyon",47,16.8,6,6500,03,06
"Emigration Canyon",44,8.8,6,6500,03,07
"Emigration Canyon",14,4.4,6,6500,03,07
"Emigration Canyon",45,14.1,6,6500,02,08
"Emigration Canyon",46,15.0,6,6500,04,08
"Emigration Canyon",43,11.6,6,6500,02,09
"Emigration Canyon",39,11.2,6,6500,03,09
"Emigration Canyon",34,7.6,6,6500,03,10
"Emigration Canyon",26,7.4,6,6500,03,10
"Emigration Canyon",60,10.8,6,6500,02,11
"Emigration Canyon",50,17.8,6,6500,04,11
"Emigration Canyon",38,5.9,6,6500,02,12
"Emigration Canyon",22,6.6,6,6500,03,12
"Emigration Canyon",31,6.0,6,6500,02,13
"Emigration Canyon",20,7.5,6,6500,03,13
"Emigration Canyon",49,15.4,6,6500,03,14
"Emigration Canyon",36,12.9,6,6500,03,14
"Emigration Canyon",26,7.6,6,6500,02,15
"Emigration Canyon",0,0.0,6,6500,04,15
"Emigration Canyon",31,9.1,6,6500,03,16
"Emigration Canyon",38,12.6,6,6500,03,16
