location,snow_depth,snow_water_equivalent,elevation_band,elevation,month,year
"Hidden Lake",33,7.6,5,5040,01,01
"Hidden Lake",37,9.7,5,5040,02,01
"Hidden Lake",46,12.6,5,5040,03,01
"Hidden Lake",46,16.4,5,5040,04,01
"Hidden Lake",46,18.2,5,5040,05,01
"Hidden Lake",0,0.0,5,5040,06,01
"Hidden Lake",60,17.9,5,5040,01,02
"Hidden Lake",81,27.2,5,5040,02,02
"Hidden Lake",82,33.3,5,5040,03,02
"Hidden Lake",92,41.5,5,5040,04,02
"Hidden Lake",61,34.1,5,5040,05,02
"Hidden Lake",14,6.5,5,5040,06,02
"Hidden Lake",57,13.7,5,5040,01,03
"Hidden Lake",64,21.5,5,5040,02,03
"Hidden Lake",76,25.6,5,5040,03,03
"Hidden Lake",78,33.0,5,5040,04,03
"Hidden Lake",62,28.4,5,5040,05,03
"Hidden Lake",6,1.4,5,5040,06,03
"Hidden Lake",61,16.3,5,5040,01,04
"Hidden Lake",84,27.2,5,5040,02,04
"Hidden Lake",82,31.1,5,5040,03,04
"Hidden Lake",69,33.7,5,5040,04,04
"Hidden Lake",35,17.5,5,5040,05,04
"Hidden Lake",0,0.0,5,5040,06,04
"Hidden Lake",49,13.8,5,5040,01,05
"Hidden Lake",41,15.1,5,5040,02,05
"Hidden Lake",45,15.5,5,5040,03,05
"Hidden Lake",52,19.1,5,5040,04,05
"Hidden Lake",27,11.4,5,5040,05,05
"Hidden Lake",0,0.0,5,5040,06,05
"Hidden Lake",41,11.8,5,5040,01,06
"Hidden Lake",91,29.1,5,5040,02,06
"Hidden Lake",102,37.1,5,5040,03,06
"Hidden Lake",100,44.5,5,5040,04,06
"Hidden Lake",69,37.6,5,5040,05,06
"Hidden Lake",11,3.3,5,5040,06,06
"Hidden Lake",65,20.0,5,5040,01,07
"Hidden Lake",70,26.2,5,5040,02,07
"Hidden Lake",98,33.2,5,5040,03,07
"Hidden Lake",66,34.3,5,5040,04,07
"Hidden Lake",47,23.9,5,5040,05,07
"Hidden Lake",0,0.0,5,5040,06,07
"Hidden Lake",60,14.8,5,5040,01,08
"Hidden Lake",89,23.3,5,5040,02,08
"Hidden Lake",84,28.8,5,5040,03,08
"Hidden Lake",104,35.6,5,5040,04,08
"Hidden Lake",85,38.8,5,5040,05,08
"Hidden Lake",13,7.0,5,5040,06,08
"Hidden Lake",47,10.5,5,5040,01,09
"Hidden Lake",51,16.3,5,5040,02,09
"Hidden Lake",65,20.2,5,5040,03,09
"Hidden Lake",91,29.2,5,5040,04,09
"Hidden Lake",67,29.0,5,5040,05,09
"Hidden Lake",11,3.1,5,5040,06,09
"Hidden Lake",56,15.2,5,5040,01,10
"Hidden Lake",62,21.8,5,5040,02,10
"Hidden Lake",71,25.3,5,5040,03,10
"Hidden Lake",84,33.3,5,5040,04,10
"Hidden Lake",62,28.7,5,5040,05,10
"Hidden Lake",21,8.4,5,5040,06,10
"Hidden Lake",57,13.9,5,5040,01,11
"Hidden Lake",65,21.4,5,5040,02,11
"Hidden Lake",92,28.2,5,5040,03,11
"Hidden Lake",104,39.4,5,5040,04,11
"Hidden Lake",112,49.5,5,5040,05,11
"Hidden Lake",65,31.6,5,5040,06,11
"Hidden Lake",57,18.3,5,5040,01,12
"Hidden Lake",81,25.0,5,5040,02,12
"Hidden Lake",99,30.4,5,5040,03,12
"Hidden Lake",127,47.4,5,5040,04,12
"Hidden Lake",89,41.5,5,5040,05,12
"Hidden Lake",36,17.9,5,5040,06,12
"Hidden Lake",67,19.2,5,5040,01,13
"Hidden Lake",68,23.7,5,5040,02,13
"Hidden Lake",80,28.0,5,5040,03,13
"Hidden Lake",73,32.8,5,5040,04,13
"Hidden Lake",61,30.5,5,5040,05,13
"Hidden Lake",0,0.0,5,5040,06,13
"Hidden Lake",47,13.0,5,5040,01,14
"Hidden Lake",62,19.1,5,5040,02,14
"Hidden Lake",85,26.8,5,5040,03,14
"Hidden Lake",103,38.0,5,5040,04,14
"Hidden Lake",87,41.1,5,5040,05,14
"Hidden Lake",24,11.4,5,5040,06,14
"Hidden Lake",38,11.9,5,5040,01,15
"Hidden Lake",47,16.8,5,5040,02,15
"Hidden Lake",46,19.0,5,5040,03,15
"Hidden Lake",37,18.0,5,5040,04,15
"Hidden Lake",24,10.9,5,5040,05,15
"Hidden Lake",0,0.0,5,5040,06,15
"Hidden Lake",51,13.9,5,5040,01,16
"Hidden Lake",72,21.7,5,5040,02,16
"Hidden Lake",78,28.0,5,5040,03,16
"Hidden Lake",88,35.7,5,5040,04,16
"Hidden Lake",46,21.1,5,5040,05,16
"Hidden Lake",0,0.0,5,5040,06,16
