location,snow_depth,snow_water_equivalent,elevation_band,elevation,month,year
"Howell Canyon",,5.6,7,7980,01,00
"Howell Canyon",,14.5,7,7980,02,00
"Howell Canyon",,23.2,7,7980,03,00
"Howell Canyon",,27.0,7,7980,04,00
"Howell Canyon",,13.9,7,7980,05,00
"Howell Canyon",,0.0,7,7980,06,00
"Howell Canyon",,8.1,7,7980,01,01
"Howell Canyon",,10.2,7,7980,02,01
"Howell Canyon",,12.2,7,7980,03,01
"Howell Canyon",,11.5,7,7980,04,01
"Howell Canyon",,6.2,7,7980,05,01
"Howell Canyon",,0.0,7,7980,06,01
"Howell Canyon",53,16.6,7,7980,01,02
"Howell Canyon",60,21.4,7,7980,02,02
"Howell Canyon",64,23.3,7,7980,03,02
"Howell Canyon",63,27.4,7,7980,04,02
"Howell Canyon",40,19.8,7,7980,05,02
"Howell Canyon",0,0.0,7,7980,06,02
"Howell Canyon",32,6.7,7,7980,01,03
"Howell Canyon",31,8.5,7,7980,02,03
"Howell Canyon",42,11.4,7,7980,03,03
"Howell Canyon",43,14.3,7,7980,04,03
"Howell Canyon",36,13.3,7,7980,05,03
"Howell Canyon",0,0.0,7,7980,06,03
"Howell Canyon",48,11.7,7,7980,01,04
"Howell Canyon",55,16.3,7,7980,02,04
"Howell Canyon",78,24.0,7,7980,03,04
"Howell Canyon",53,24.6,7,7980,04,04
"Howell Canyon",33,16.9,7,7980,05,04
"Howell Canyon",0,0.0,7,7980,06,04
"Howell Canyon",38,9.5,7,7980,01,05
"Howell Canyon",42,13.4,7,7980,02,05
"Howell Canyon",48,14.7,7,7980,03,05
"Howell Canyon",64,21.4,7,7980,04,05
"Howell Canyon",49,20.3,7,7980,05,05
"Howell Canyon",0,0.0,7,7980,06,05
"Howell Canyon",57,16.4,7,7980,01,06
"Howell Canyon",90,31.0,7,7980,02,06
"Howell Canyon",88,35.2,7,7980,03,06
"Howell Canyon",99,44.7,7,7980,04,06
"Howell Canyon",68,37.6,7,7980,05,06
"Howell Canyon",0,0.0,7,7980,06,06
"Howell Canyon",46,12.6,7,7980,01,07
"Howell Canyon",52,14.9,7,7980,02,07
"Howell Canyon",74,21.6,7,7980,03,07
"Howell Canyon",57,24.5,7,7980,04,07
"Howell Canyon",46,20.7,7,7980,05,07
"Howell Canyon",0,0.0,7,7980,06,07
"Howell Canyon",40,8.8,7,7980,01,08
"Howell Canyon",76,18.3,7,7980,02,08
"Howell Canyon",71,24.2,7,7980,03,08
"Howell Canyon",90,30.4,7,7980,04,08
"Howell Canyon",63,29.5,7,7980,05,08
"Howell Canyon",0,0.0,7,7980,06,08
"Howell Canyon",36,8.9,7,7980,01,09
"Howell Canyon",46,13.6,7,7980,02,09
"Howell Canyon",56,17.2,7,7980,03,09
"Howell Canyon",80,25.4,7,7980,04,09
"Howell Canyon",57,24.5,7,7980,05,09
"Howell Canyon",0,0.0,7,7980,06,09
"Howell Canyon",41,8.6,7,7980,01,10
"Howell Canyon",57,14.2,7,7980,02,10
"Howell Canyon",63,18.1,7,7980,03,10
"Howell Canyon",67,22.3,7,7980,04,10
"Howell Canyon",55,20.5,7,7980,05,10
"Howell Canyon",32,14.9,7,7980,06,10
"Howell Canyon",63,16.9,7,7980,01,11
"Howell Canyon",59,20.6,7,7980,02,11
"Howell Canyon",67,22.9,7,7980,03,11
"Howell Canyon",88,34.5,7,7980,04,11
"Howell Canyon",84,38.6,7,7980,05,11
"Howell Canyon",54,26.5,7,7980,06,11
"Howell Canyon",28,6.7,7,7980,01,12
"Howell Canyon",66,17.2,7,7980,02,12
"Howell Canyon",69,20.3,7,7980,03,12
"Howell Canyon",63,24.7,7,7980,04,12
"Howell Canyon",30,12.2,7,7980,05,12
"Howell Canyon",0,0.0,7,7980,06,12
"Howell Canyon",40,9.3,7,7980,01,13
"Howell Canyon",51,14.9,7,7980,02,13
"Howell Canyon",59,18.4,7,7980,03,13
"Howell Canyon",54,21.7,7,7980,04,13
"Howell Canyon",49,20.4,7,7980,05,13
"Howell Canyon",0,0.0,7,7980,06,13
"Howell Canyon",17,4.6,7,7980,01,14
"Howell Canyon",34,9.9,7,7980,02,14
"Howell Canyon",61,19.9,7,7980,03,14
"Howell Canyon",73,28.3,7,7980,04,14
"Howell Canyon",54,26.6,7,7980,05,14
"Howell Canyon",0,0.0,7,7980,06,14
"Howell Canyon",52,15.7,7,7980,01,15
"Howell Canyon",52,20.6,7,7980,02,15
"Howell Canyon",61,25.5,7,7980,03,15
"Howell Canyon",44,24.3,7,7980,04,15
"Howell Canyon",18,10.5,7,7980,05,15
"Howell Canyon",0,0.0,7,7980,06,15
"Howell Canyon",50,13.9,7,7980,01,16
"Howell Canyon",68,22.4,7,7980,02,16
"Howell Canyon",65,26.4,7,7980,03,16
"Howell Canyon",87,35.1,7,7980,04,16
"Howell Canyon",60,30.0,7,7980,05,16
"Howell Canyon",6,2.2,7,7980,06,16
