location,snow_depth,snow_water_equivalent,elevation_band,elevation,month,year
Hyndman,,2.6,7,7440,01,00
Hyndman,,6.6,7,7440,02,00
Hyndman,,11.2,7,7440,03,00
Hyndman,,12.1,7,7440,04,00
Hyndman,,3.3,7,7440,05,00
Hyndman,,0.0,7,7440,06,00
Hyndman,,3.8,7,7440,01,01
Hyndman,,5.5,7,7440,02,01
Hyndman,,6.6,7,7440,03,01
Hyndman,,5.9,7,7440,04,01
Hyndman,,0.0,7,7440,05,01
Hyndman,,0.0,7,7440,06,01
Hyndman,,5.5,7,7440,01,02
Hyndman,,7.9,7,7440,02,02
Hyndman,,9.0,7,7440,03,02
Hyndman,,11.7,7,7440,04,02
Hyndman,,5.8,7,7440,05,02
Hyndman,,0.0,7,7440,06,02
Hyndman,,7.4,7,7440,01,03
Hyndman,,9.1,7,7440,02,03
Hyndman,,10.6,7,7440,03,03
Hyndman,,12.8,7,7440,04,03
Hyndman,,11.4,7,7440,05,03
Hyndman,,0.0,7,7440,06,03
Hyndman,33,6.2,7,7440,01,04
Hyndman,32,8.1,7,7440,02,04
Hyndman,45,11.4,7,7440,03,04
Hyndman,21,8.1,7,7440,04,04
Hyndman,0,0.0,7,7440,05,04
Hyndman,0,0.0,7,7440,06,04
Hyndman,26,4.8,7,7440,01,05
Hyndman,24,6.6,7,7440,02,05
Hyndman,26,7.2,7,7440,03,05
Hyndman,34,9.6,7,7440,04,05
Hyndman,16,5.7,7,7440,05,05
Hyndman,0,0.0,7,7440,06,05
Hyndman,44,8.8,7,7440,01,06
Hyndman,48,12.3,7,7440,02,06
Hyndman,58,14.4,7,7440,03,06
Hyndman,62,18.1,7,7440,04,06
Hyndman,41,15.7,7,7440,05,06
Hyndman,0,0.0,7,7440,06,06
Hyndman,23,4.4,7,7440,01,07
Hyndman,25,5.1,7,7440,02,07
Hyndman,38,7.4,7,7440,03,07
Hyndman,18,5.4,7,7440,04,07
Hyndman,0,0.0,7,7440,05,07
Hyndman,0,0.0,7,7440,06,07
Hyndman,23,4.4,7,7440,01,08
Hyndman,47,9.4,7,7440,02,08
Hyndman,38,10.4,7,7440,03,08
Hyndman,45,12.0,7,7440,04,08
Hyndman,28,9.5,7,7440,05,08
Hyndman,0,0.0,7,7440,06,08
Hyndman,23,4.6,7,7440,01,09
Hyndman,26,6.5,7,7440,02,09
Hyndman,36,8.8,7,7440,03,09
Hyndman,40,12.3,7,7440,04,09
Hyndman,20,6.9,7,7440,05,09
Hyndman,0,0.0,7,7440,06,09
Hyndman,15,2.6,7,7440,01,10
Hyndman,26,5.2,7,7440,02,10
Hyndman,26,6.0,7,7440,03,10
Hyndman,37,8.9,7,7440,04,10
Hyndman,15,4.8,7,7440,05,10
Hyndman,0,0.0,7,7440,06,10
Hyndman,31,6.4,7,7440,01,11
Hyndman,27,7.1,7,7440,02,11
Hyndman,38,8.9,7,7440,03,11
Hyndman,51,14.7,7,7440,04,11
Hyndman,44,15.2,7,7440,05,11
Hyndman,8,2.7,7,7440,06,11
Hyndman,23,3.6,7,7440,01,12
Hyndman,33,6.2,7,7440,02,12
Hyndman,38,7.1,7,7440,03,12
Hyndman,46,12.5,7,7440,04,12
Hyndman,7,2.5,7,7440,05,12
Hyndman,0,0.0,7,7440,06,12
Hyndman,33,8.3,7,7440,01,13
Hyndman,37,9.3,7,7440,02,13
Hyndman,37,9.9,7,7440,03,13
Hyndman,27,10.3,7,7440,04,13
Hyndman,0,0.0,7,7440,05,13
Hyndman,0,0.0,7,7440,06,13
Hyndman,12,2.7,7,7440,01,14
Hyndman,22,4.3,7,7440,02,14
Hyndman,31,7.8,7,7440,03,14
Hyndman,37,10.6,7,7440,04,14
Hyndman,14,5.2,7,7440,05,14
Hyndman,0,0.0,7,7440,06,14
Hyndman,30,6.1,7,7440,01,15
Hyndman,28,7.5,7,7440,02,15
Hyndman,34,9.2,7,7440,03,15
Hyndman,16,5.4,7,7440,04,15
Hyndman,0,0.0,7,7440,05,15
Hyndman,0,0.0,7,7440,06,15
Hyndman,30,6.4,7,7440,01,16
Hyndman,39,8.9,7,7440,02,16
Hyndman,34,9.6,7,7440,03,16
Hyndman,41,12.6,7,7440,04,16
Hyndman,4,1.3,7,7440,05,16
Hyndman,0,0.0,7,7440,06,16
