location,snow_depth,snow_water_equivalent,elevation_band,elevation,month,year
"Long Valley",23,5.9,4,4890,01,02
"Long Valley",33,8.3,4,4890,02,02
"Long Valley",33,9.6,4,4890,03,02
"Long Valley",23,9.5,4,4890,04,02
"Long Valley",0,0.0,4,4890,05,02
"Long Valley",0,0.0,4,4890,06,02
"Long Valley",14,3.3,4,4890,01,03
"Long Valley",7,3.1,4,4890,02,03
"Long Valley",12,3.6,4,4890,03,03
"Long Valley",0,0.0,4,4890,04,03
"Long Valley",0,0.0,4,4890,05,03
"Long Valley",0,0.0,4,4890,06,03
"Long Valley",26,4.2,4,4890,01,04
"Long Valley",27,7.3,4,4890,02,04
"Long Valley",27,8.9,4,4890,03,04
"Long Valley",2,1.0,4,4890,04,04
"Long Valley",0,0.0,4,4890,05,04
"Long Valley",0,0.0,4,4890,06,04
"Long Valley",9,1.6,4,4890,01,05
"Long Valley",11,3.0,4,4890,02,05
"Long Valley",13,3.7,4,4890,03,05
"Long Valley",8,1.7,4,4890,04,05
"Long Valley",0,0.0,4,4890,05,05
"Long Valley",0,0.0,4,4890,06,05
"Long Valley",8,2.7,4,4890,01,06
"Long Valley",34,7.9,4,4890,02,06
"Long Valley",27,8.8,4,4890,03,06
"Long Valley",26,9.4,4,4890,04,06
"Long Valley",0,0.0,4,4890,05,06
"Long Valley",0,0.0,4,4890,06,06
"Long Valley",13,3.6,4,4890,01,07
"Long Valley",19,3.9,4,4890,02,07
"Long Valley",31,7.3,4,4890,03,07
"Long Valley",0,0.0,4,4890,04,07
"Long Valley",0,0.0,4,4890,05,07
"Long Valley",0,0.0,4,4890,06,07
"Long Valley",27,5.8,4,4890,01,08
"Long Valley",51,11.1,4,4890,02,08
"Long Valley",40,13.3,4,4890,03,08
"Long Valley",38,13.5,4,4890,04,08
"Long Valley",20,8.0,4,4890,05,08
"Long Valley",0,0.0,4,4890,06,08
"Long Valley",15,3.4,4,4890,01,09
"Long Valley",17,3.1,4,4890,02,09
"Long Valley",14,3.6,4,4890,03,09
"Long Valley",16,3.5,4,4890,04,09
"Long Valley",0,0.0,4,4890,05,09
"Long Valley",0,0.0,4,4890,06,09
"Long Valley",14,3.1,4,4890,01,10
"Long Valley",23,6.1,4,4890,02,10
"Long Valley",21,6.9,4,4890,03,10
"Long Valley",18,6.8,4,4890,04,10
"Long Valley",0,0.0,4,4890,05,10
"Long Valley",0,0.0,4,4890,06,10
"Long Valley",23,4.7,4,4890,01,11
"Long Valley",19,5.4,4,4890,02,11
"Long Valley",23,6.7,4,4890,03,11
"Long Valley",16,6.5,4,4890,04,11
"Long Valley",0,0.0,4,4890,05,11
"Long Valley",0,0.0,4,4890,06,11
"Long Valley",3,0.9,4,4890,01,12
"Long Valley",15,4.3,4,4890,02,12
"Long Valley",20,5.6,4,4890,03,12
"Long Valley",0,0.0,4,4890,04,12
"Long Valley",0,0.0,4,4890,05,12
"Long Valley",0,0.0,4,4890,06,12
"Long Valley",10,1.7,4,4890,01,13
"Long Valley",11,2.8,4,4890,02,13
"Long Valley",17,3.7,4,4890,03,13
"Long Valley",4,0.8,4,4890,04,13
"Long Valley",0,0.0,4,4890,05,13
"Long Valley",0,0.0,4,4890,06,13
"Long Valley",5,1.4,4,4890,01,14
"Long Valley",11,2.6,4,4890,02,14
"Long Valley",9,3.9,4,4890,03,14
"Long Valley",0,0.0,4,4890,04,14
"Long Valley",0,0.0,4,4890,05,14
"Long Valley",0,0.0,4,4890,06,14
"Long Valley",6,1.6,4,4890,01,15
"Long Valley",8,3.1,4,4890,02,15
"Long Valley",0,0.0,4,4890,03,15
"Long Valley",0,0.0,4,4890,04,15
"Long Valley",0,0.0,4,4890,05,15
"Long Valley",0,0.0,4,4890,06,15
"Long Valley",22,5.4,4,4890,01,16
"Long Valley",30,8.3,4,4890,02,16
"Long Valley",20,8.5,4,4890,03,16
"Long Valley",0,0.0,4,4890,04,16
"Long Valley",0,0.0,4,4890,05,16
"Long Valley",0,0.0,4,4890,06,16
