location,snow_depth,snow_water_equivalent,elevation_band,elevation,month,year
"Reynolds Creek",9,2.4,5,5600,01,02
"Reynolds Creek",4,1.8,5,5600,02,02
"Reynolds Creek",1,1.0,5,5600,03,02
"Reynolds Creek",0,0.2,5,5600,04,02
"Reynolds Creek",0,0.0,5,5600,05,02
"Reynolds Creek",0,0.0,5,5600,06,02
"Reynolds Creek",6,0.3,5,5600,01,03
"Reynolds Creek",0,0.2,5,5600,02,03
"Reynolds Creek",1,0.0,5,5600,03,03
"Reynolds Creek",1,0.2,5,5600,04,03
"Reynolds Creek",3,0.3,5,5600,05,03
"Reynolds Creek",4,0.3,5,5600,06,03
"Reynolds Creek",13,2.4,5,5600,01,04
"Reynolds Creek",12,4.0,5,5600,02,04
"Reynolds Creek",17,5.8,5,5600,03,04
"Reynolds Creek",0,0.0,5,5600,04,04
"Reynolds Creek",2,0.0,5,5600,05,04
"Reynolds Creek",3,0.0,5,5600,06,04
"Reynolds Creek",1,0.2,5,5600,01,05
"Reynolds Creek",0,0.0,5,5600,02,05
"Reynolds Creek",0,0.0,5,5600,03,05
"Reynolds Creek",0,0.0,5,5600,04,05
"Reynolds Creek",0,0.0,5,5600,05,05
"Reynolds Creek",0,0.0,5,5600,06,05
"Reynolds Creek",0,0.9,5,5600,01,06
"Reynolds Creek",5,2.5,5,5600,02,06
"Reynolds Creek",3,1.6,5,5600,03,06
"Reynolds Creek",1,0.6,5,5600,04,06
"Reynolds Creek",0,0.0,5,5600,05,06
"Reynolds Creek",0,0.0,5,5600,06,06
"Reynolds Creek",2,1.0,5,5600,01,07
"Reynolds Creek",1,0.9,5,5600,02,07
"Reynolds Creek",3,0.6,5,5600,03,07
"Reynolds Creek",0,0.0,5,5600,04,07
"Reynolds Creek",0,0.0,5,5600,05,07
"Reynolds Creek",0,0.0,5,5600,06,07
"Reynolds Creek",10,2.8,5,5600,01,08
"Reynolds Creek",18,4.7,5,5600,02,08
"Reynolds Creek",18,7.3,5,5600,03,08
"Reynolds Creek",12,5.4,5,5600,04,08
"Reynolds Creek",0,0.0,5,5600,05,08
"Reynolds Creek",0,0.0,5,5600,06,08
"Reynolds Creek",9,3.2,5,5600,01,09
"Reynolds Creek",8,3.2,5,5600,02,09
"Reynolds Creek",6,2.5,5,5600,03,09
"Reynolds Creek",0,0.0,5,5600,04,09
"Reynolds Creek",0,0.0,5,5600,05,09
"Reynolds Creek",0,0.0,5,5600,06,09
"Reynolds Creek",13,3.6,5,5600,01,10
"Reynolds Creek",20,6.1,5,5600,02,10
"Reynolds Creek",19,7.0,5,5600,03,10
"Reynolds Creek",13,3.9,5,5600,04,10
"Reynolds Creek",0,0.0,5,5600,05,10
"Reynolds Creek",0,0.0,5,5600,06,10
"Reynolds Creek",13,3.2,5,5600,01,11
"Reynolds Creek",3,1.3,5,5600,02,11
"Reynolds Creek",5,1.7,5,5600,03,11
"Reynolds Creek",3,1.1,5,5600,04,11
"Reynolds Creek",1,0.4,5,5600,05,11
"Reynolds Creek",0,0.0,5,5600,06,11
"Reynolds Creek",4,0.7,5,5600,01,12
"Reynolds Creek",5,2.1,5,5600,02,12
"Reynolds Creek",4,1.6,5,5600,03,12
"Reynolds Creek",0,0.0,5,5600,04,12
"Reynolds Creek",0,0.0,5,5600,05,12
"Reynolds Creek",0,0.0,5,5600,06,12
"Reynolds Creek",12,2.6,5,5600,01,13
"Reynolds Creek",8,3.6,5,5600,02,13
"Reynolds Creek",9,4.2,5,5600,03,13
"Reynolds Creek",0,0.0,5,5600,04,13
"Reynolds Creek",0,0.0,5,5600,05,13
"Reynolds Creek",0,0.0,5,5600,06,13
"Reynolds Creek",3,1.5,5,5600,01,14
"Reynolds Creek",3,1.5,5,5600,02,14
"Reynolds Creek",1,0.5,5,5600,03,14
"Reynolds Creek",0,0.0,5,5600,04,14
"Reynolds Creek",0,0.0,5,5600,05,14
"Reynolds Creek",0,0.0,5,5600,06,14
"Reynolds Creek",5,1.3,5,5600,01,15
"Reynolds Creek",1,0.6,5,5600,02,15
"Reynolds Creek",4,1.2,5,5600,03,15
"Reynolds Creek",0,0.0,5,5600,04,15
"Reynolds Creek",0,0.0,5,5600,05,15
"Reynolds Creek",0,0.0,5,5600,06,15
"Reynolds Creek",,6.0,5,5600,01,16
"Reynolds Creek",,9.0,5,5600,02,16
"Reynolds Creek",,1.7,5,5600,03,16
"Reynolds Creek",,0.0,5,5600,04,16
"Reynolds Creek",,0.0,5,5600,05,16
"Reynolds Creek",,0.0,5,5600,06,16
