location,snow_depth,snow_water_equivalent,elevation_band,elevation,month,year
"Schweitzer Basin",,22.2,6,6090,01,00
"Schweitzer Basin",,37.5,6,6090,02,00
"Schweitzer Basin",,45.2,6,6090,03,00
"Schweitzer Basin",,52.3,6,6090,04,00
"Schweitzer Basin",,54.5,6,6090,05,00
"Schweitzer Basin",,33.5,6,6090,06,00
"Schweitzer Basin",41,10.2,6,6090,01,01
"Schweitzer Basin",45,12.2,6,6090,02,01
"Schweitzer Basin",51,15.0,6,6090,03,01
"Schweitzer Basin",58,19.6,6,6090,04,01
"Schweitzer Basin",71,23.5,6,6090,05,01
"Schweitzer Basin",0,0.0,6,6090,06,01
"Schweitzer Basin",76,23.9,6,6090,01,02
"Schweitzer Basin",110,34.0,6,6090,02,02
"Schweitzer Basin",105,41.0,6,6090,03,02
"Schweitzer Basin",117,47.6,6,6090,04,02
"Schweitzer Basin",98,45.5,6,6090,05,02
"Schweitzer Basin",49,23.9,6,6090,06,02
"Schweitzer Basin",90,22.7,6,6090,01,03
"Schweitzer Basin",94,31.6,6,6090,02,03
"Schweitzer Basin",108,36.9,6,6090,03,03
"Schweitzer Basin",124,47.6,6,6090,04,03
"Schweitzer Basin",114,46.0,6,6090,05,03
"Schweitzer Basin",74,30.4,6,6090,06,03
"Schweitzer Basin",78,21.6,6,6090,01,04
"Schweitzer Basin",124,37.8,6,6090,02,04
"Schweitzer Basin",116,42.4,6,6090,03,04
"Schweitzer Basin",121,48.4,6,6090,04,04
"Schweitzer Basin",104,47.4,6,6090,05,04
"Schweitzer Basin",63,28.6,6,6090,06,04
"Schweitzer Basin",57,15.6,6,6090,01,05
"Schweitzer Basin",60,21.6,6,6090,02,05
"Schweitzer Basin",64,21.4,6,6090,03,05
"Schweitzer Basin",99,29.8,6,6090,04,05
"Schweitzer Basin",76,28.8,6,6090,05,05
"Schweitzer Basin",10,2.0,6,6090,06,05
"Schweitzer Basin",66,17.1,6,6090,01,06
"Schweitzer Basin",138,41.4,6,6090,02,06
"Schweitzer Basin",159,53.7,6,6090,03,06
"Schweitzer Basin",167,62.6,6,6090,04,06
"Schweitzer Basin",150,67.1,6,6090,05,06
"Schweitzer Basin",90,42.9,6,6090,06,06
"Schweitzer Basin",79,23.5,6,6090,01,07
"Schweitzer Basin",107,35.7,6,6090,02,07
"Schweitzer Basin",146,45.9,6,6090,03,07
"Schweitzer Basin",118,50.6,6,6090,04,07
"Schweitzer Basin",108,47.6,6,6090,05,07
"Schweitzer Basin",65,25.0,6,6090,06,07
"Schweitzer Basin",92,21.8,6,6090,01,08
"Schweitzer Basin",152,39.2,6,6090,02,08
"Schweitzer Basin",149,47.6,6,6090,03,08
"Schweitzer Basin",180,57.4,6,6090,04,08
"Schweitzer Basin",167,60.2,6,6090,05,08
"Schweitzer Basin",98,39.3,6,6090,06,08
"Schweitzer Basin",71,16.4,6,6090,01,09
"Schweitzer Basin",76,24.9,6,6090,02,09
"Schweitzer Basin",95,30.3,6,6090,03,09
"Schweitzer Basin",133,43.8,6,6090,04,09
"Schweitzer Basin",129,47.2,6,6090,05,09
"Schweitzer Basin",75,31.7,6,6090,06,09
"Schweitzer Basin",54,14.9,6,6090,01,10
"Schweitzer Basin",73,22.9,6,6090,02,10
"Schweitzer Basin",79,26.6,6,6090,03,10
"Schweitzer Basin",105,34.6,6,6090,04,10
"Schweitzer Basin",95,38.5,6,6090,05,10
"Schweitzer Basin",57,24.7,6,6090,06,10
"Schweitzer Basin",88,23.4,6,6090,01,11
"Schweitzer Basin",104,33.7,6,6090,02,11
"Schweitzer Basin",148,47.1,6,6090,03,11
"Schweitzer Basin",157,59.2,6,6090,04,11
"Schweitzer Basin",179,70.7,6,6090,05,11
"Schweitzer Basin",131,61.0,6,6090,06,11
"Schweitzer Basin",80,24.3,6,6090,01,12
"Schweitzer Basin",118,36.5,6,6090,02,12
"Schweitzer Basin",161,43.4,6,6090,03,12
"Schweitzer Basin",219,69.2,6,6090,04,12
"Schweitzer Basin",163,70.3,6,6090,05,12
"Schweitzer Basin",118,53.8,6,6090,06,12
"Schweitzer Basin",114,33.5,6,6090,01,13
"Schweitzer Basin",118,39.4,6,6090,02,13
"Schweitzer Basin",128,45.2,6,6090,03,13
"Schweitzer Basin",131,53.9,6,6090,04,13
"Schweitzer Basin",128,59.3,6,6090,05,13
"Schweitzer Basin",70,33.5,6,6090,06,13
"Schweitzer Basin",,13.8,6,6090,01,14
"Schweitzer Basin",,23.2,6,6090,02,14
"Schweitzer Basin",103,34.6,6,6090,03,14
"Schweitzer Basin",125,46.3,6,6090,04,14
"Schweitzer Basin",122,51.6,6,6090,05,14
"Schweitzer Basin",66,31.5,6,6090,06,14
"Schweitzer Basin",40,10.1,6,6090,01,15
"Schweitzer Basin",48,17.0,6,6090,02,15
"Schweitzer Basin",60,24.7,6,6090,03,15
"Schweitzer Basin",64,26.0,6,6090,04,15
"Schweitzer Basin",61,24.9,6,6090,05,15
"Schweitzer Basin",0,0.0,6,6090,06,15
"Schweitzer Basin",67,17.8,6,6090,01,16
"Schweitzer Basin",100,30.2,6,6090,02,16
"Schweitzer Basin",110,39.6,6,6090,03,16
"Schweitzer Basin",124,52.3,6,6090,04,16
"Schweitzer Basin",86,41.2,6,6090,05,16
"Schweitzer Basin",23,9.8,6,6090,06,16
