location,snow_depth,snow_water_equivalent,elevation_band,elevation,month,year
"Soldier R.s.",12,2.5,5,5740,01,00
"Soldier R.s.",33,8.2,5,5740,02,00
"Soldier R.s.",40,12.9,5,5740,03,00
"Soldier R.s.",25,10.2,5,5740,04,00
"Soldier R.s.",0,0.0,5,5740,05,00
"Soldier R.s.",0,0.0,5,5740,06,00
"Soldier R.s.",17,3.4,5,5740,01,01
"Soldier R.s.",24,4.9,5,5740,02,01
"Soldier R.s.",27,6.2,5,5740,03,01
"Soldier R.s.",0,0.0,5,5740,04,01
"Soldier R.s.",0,0.0,5,5740,05,01
"Soldier R.s.",0,0.0,5,5740,06,01
"Soldier R.s.",30,7.5,5,5740,01,02
"Soldier R.s.",36,9.7,5,5740,02,02
"Soldier R.s.",34,9.8,5,5740,03,02
"Soldier R.s.",22,8.6,5,5740,04,02
"Soldier R.s.",0,0.0,5,5740,05,02
"Soldier R.s.",0,0.0,5,5740,06,02
"Soldier R.s.",39,8.0,5,5740,01,03
"Soldier R.s.",27,9.0,5,5740,02,03
"Soldier R.s.",31,9.5,5,5740,03,03
"Soldier R.s.",12,4.6,5,5740,04,03
"Soldier R.s.",0,0.0,5,5740,05,03
"Soldier R.s.",0,0.0,5,5740,06,03
"Soldier R.s.",44,7.6,5,5740,01,04
"Soldier R.s.",35,9.9,5,5740,02,04
"Soldier R.s.",41,12.5,5,5740,03,04
"Soldier R.s.",6,3.0,5,5740,04,04
"Soldier R.s.",0,0.0,5,5740,05,04
"Soldier R.s.",0,0.0,5,5740,06,04
"Soldier R.s.",25,4.8,5,5740,01,05
"Soldier R.s.",26,6.7,5,5740,02,05
"Soldier R.s.",27,7.2,5,5740,03,05
"Soldier R.s.",17,6.5,5,5740,04,05
"Soldier R.s.",0,0.0,5,5740,05,05
"Soldier R.s.",0,0.0,5,5740,06,05
"Soldier R.s.",34,8.5,5,5740,01,06
"Soldier R.s.",59,15.8,5,5740,02,06
"Soldier R.s.",50,18.3,5,5740,03,06
"Soldier R.s.",44,17.4,5,5740,04,06
"Soldier R.s.",0,0.0,5,5740,05,06
"Soldier R.s.",0,0.0,5,5740,06,06
"Soldier R.s.",31,6.5,5,5740,01,07
"Soldier R.s.",33,6.9,5,5740,02,07
"Soldier R.s.",43,9.7,5,5740,03,07
"Soldier R.s.",5,2.1,5,5740,04,07
"Soldier R.s.",0,0.0,5,5740,05,07
"Soldier R.s.",0,0.0,5,5740,06,07
"Soldier R.s.",29,5.6,5,5740,01,08
"Soldier R.s.",61,11.7,5,5740,02,08
"Soldier R.s.",44,13.4,5,5740,03,08
"Soldier R.s.",38,14.0,5,5740,04,08
"Soldier R.s.",7,2.5,5,5740,05,08
"Soldier R.s.",0,0.0,5,5740,06,08
"Soldier R.s.",32,6.9,5,5740,01,09
"Soldier R.s.",32,8.7,5,5740,02,09
"Soldier R.s.",34,10.8,5,5740,03,09
"Soldier R.s.",21,8.8,5,5740,04,09
"Soldier R.s.",0,0.0,5,5740,05,09
"Soldier R.s.",0,0.0,5,5740,06,09
"Soldier R.s.",19,3.6,5,5740,01,10
"Soldier R.s.",30,6.9,5,5740,02,10
"Soldier R.s.",31,8.1,5,5740,03,10
"Soldier R.s.",18,7.6,5,5740,04,10
"Soldier R.s.",0,0.0,5,5740,05,10
"Soldier R.s.",0,0.0,5,5740,06,10
"Soldier R.s.",36,8.3,5,5740,01,11
"Soldier R.s.",32,9.0,5,5740,02,11
"Soldier R.s.",40,10.0,5,5740,03,11
"Soldier R.s.",33,11.7,5,5740,04,11
"Soldier R.s.",3,1.4,5,5740,05,11
"Soldier R.s.",0,0.0,5,5740,06,11
"Soldier R.s.",15,3.2,5,5740,01,12
"Soldier R.s.",42,8.5,5,5740,02,12
"Soldier R.s.",42,9.3,5,5740,03,12
"Soldier R.s.",26,8.9,5,5740,04,12
"Soldier R.s.",0,0.0,5,5740,05,12
"Soldier R.s.",0,0.0,5,5740,06,12
"Soldier R.s.",17,3.8,5,5740,01,13
"Soldier R.s.",21,5.3,5,5740,02,13
"Soldier R.s.",23,5.5,5,5740,03,13
"Soldier R.s.",2,0.7,5,5740,04,13
"Soldier R.s.",0,0.0,5,5740,05,13
"Soldier R.s.",0,0.0,5,5740,06,13
"Soldier R.s.",3,0.5,5,5740,01,14
"Soldier R.s.",13,2.5,5,5740,02,14
"Soldier R.s.",21,6.6,5,5740,03,14
"Soldier R.s.",6,2.4,5,5740,04,14
"Soldier R.s.",0,0.0,5,5740,05,14
"Soldier R.s.",0,0.0,5,5740,06,14
"Soldier R.s.",21,4.3,5,5740,01,15
"Soldier R.s.",25,6.4,5,5740,02,15
"Soldier R.s.",16,5.4,5,5740,03,15
"Soldier R.s.",0,0.0,5,5740,04,15
"Soldier R.s.",0,0.0,5,5740,05,15
"Soldier R.s.",0,0.0,5,5740,06,15
"Soldier R.s.",38,8.6,5,5740,01,16
"Soldier R.s.",49,12.1,5,5740,02,16
"Soldier R.s.",35,12.3,5,5740,03,16
"Soldier R.s.",21,9.2,5,5740,04,16
"Soldier R.s.",0,0.0,5,5740,05,16
"Soldier R.s.",0,0.0,5,5740,06,16
