location,snow_depth,snow_water_equivalent,elevation_band,elevation,month,year
"American Beauty - Aerial Marker",9,2.2,7,7800,02,00
"American Beauty - Aerial Marker",33,8.2,7,7800,02,00
"American Beauty - Aerial Marker",27,10.0,7,7800,03,00
"American Beauty - Aerial Marker",27,5.7,7,7800,01,01
"American Beauty - Aerial Marker",30,8.4,7,7800,02,01
"American Beauty - Aerial Marker",15,6.1,7,7800,03,01
"American Beauty - Aerial Marker",27,7.6,7,7800,01,02
"American Beauty - Aerial Marker",29,9.9,7,7800,02,02
"American Beauty - Aerial Marker",31,11.8,7,7800,03,02
"American Beauty - Aerial Marker",13,4.4,7,7800,01,03
"American Beauty - Aerial Marker",18,6.1,7,7800,02,03
"American Beauty - Aerial Marker",12,4.3,7,7800,03,03
"American Beauty - Aerial Marker",27,7.8,7,7800,01,04
"American Beauty - Aerial Marker",28,10.4,7,7800,02,04
"American Beauty - Aerial Marker",8,3.4,7,7800,03,04
"American Beauty - Aerial Marker",27,8.6,7,7800,01,05
"American Beauty - Aerial Marker",25,8.5,7,7800,02,05
"American Beauty - Aerial Marker",42,12.6,7,7800,03,05
"American Beauty - Aerial Marker",40,12.0,7,7800,01,06
"American Beauty - Aerial Marker",39,13.3,7,7800,02,06
"American Beauty - Aerial Marker",58,20.3,7,7800,03,06
"American Beauty - Aerial Marker",12,3.2,7,7800,01,07
"American Beauty - Aerial Marker",30,6.3,7,7800,02,07
"American Beauty - Aerial Marker",27,3.5,7,7800,03,07
"American Beauty - Aerial Marker",24,4.8,7,7800,01,08
"American Beauty - Aerial Marker",37,12.6,7,7800,02,08
"American Beauty - Aerial Marker",24,10.6,7,7800,03,08
"American Beauty - Aerial Marker",24,7.9,7,7800,01,09
"American Beauty - Aerial Marker",30,11.1,7,7800,02,09
"American Beauty - Aerial Marker",24,8.4,7,7800,03,09
"American Beauty - Aerial Marker",24,6.5,7,7800,01,10
"American Beauty - Aerial Marker",36,10.8,7,7800,02,10
"American Beauty - Aerial Marker",36,13.7,7,7800,04,10
"American Beauty - Aerial Marker",24,8.4,7,7800,01,11
"American Beauty - Aerial Marker",40,13.2,7,7800,02,11
"American Beauty - Aerial Marker",39,14.4,7,7800,03,11
"American Beauty - Aerial Marker",13,2.6,7,7800,02,12
"American Beauty - Aerial Marker",42,13.0,7,7800,03,12
"American Beauty - Aerial Marker",28,10.9,7,7800,04,12
"American Beauty - Aerial Marker",33,9.6,7,7800,02,13
"American Beauty - Aerial Marker",32,9.9,7,7800,03,13
"American Beauty - Aerial Marker",13,5.9,7,7800,04,13
"American Beauty - Aerial Marker",23,6.4,7,7800,02,14
"American Beauty - Aerial Marker",26,7.5,7,7800,03,14
"American Beauty - Aerial Marker",29,10.2,7,7800,04,14
"American Beauty - Aerial Marker",11,4.2,7,7800,02,15
"American Beauty - Aerial Marker",11,3.6,7,7800,03,15
"American Beauty - Aerial Marker",0,0.0,7,7800,04,15
"American Beauty - Aerial Marker",30,8.1,7,7800,02,16
"American Beauty - Aerial Marker",26,10.9,7,7800,02,16
"American Beauty - Aerial Marker",30,9.6,7,7800,03,16
