location,snow_depth,snow_water_equivalent,elevation_band,elevation,month,year
"Fry Canyon",24,5.6,6,6700,02,00
"Fry Canyon",30,8.3,6,6700,03,00
"Fry Canyon",20,7.3,6,6700,03,00
"Fry Canyon",23,5.3,6,6700,02,01
"Fry Canyon",24,6.4,6,6700,03,01
"Fry Canyon",2,0.6,6,6700,03,01
"Fry Canyon",28,8.4,6,6700,01,02
"Fry Canyon",29,8.9,6,6700,03,02
"Fry Canyon",24,8.6,6,6700,03,02
"Fry Canyon",16,5.7,6,6700,01,03
"Fry Canyon",14,4.9,6,6700,02,03
"Fry Canyon",6,0.9,6,6700,03,03
"Fry Canyon",29,7.1,6,6700,01,04
"Fry Canyon",25,8.1,6,6700,02,04
"Fry Canyon",0,0.0,6,6700,03,04
"Fry Canyon",15,4.1,6,6700,01,05
"Fry Canyon",20,5.7,6,6700,02,05
"Fry Canyon",19,4.8,6,6700,03,05
"Fry Canyon",33,9.4,6,6700,01,06
"Fry Canyon",36,11.3,6,6700,02,06
"Fry Canyon",32,11.1,6,6700,03,06
"Fry Canyon",15,3.6,6,6700,01,07
"Fry Canyon",21,4.6,6,6700,02,07
"Fry Canyon",11,1.0,6,6700,03,07
"Fry Canyon",30,5.9,6,6700,01,08
"Fry Canyon",35,9.4,6,6700,02,08
"Fry Canyon",23,9.0,6,6700,03,08
"Fry Canyon",24,7.9,6,6700,01,09
"Fry Canyon",27,9.3,6,6700,02,09
"Fry Canyon",19,6.8,6,6700,03,09
"Fry Canyon",27,6.6,6,6700,01,10
"Fry Canyon",30,8.0,6,6700,02,10
"Fry Canyon",27,8.5,6,6700,03,10
"Fry Canyon",15,5.4,6,6700,01,11
"Fry Canyon",22,7.4,6,6700,02,11
"Fry Canyon",31,10.0,6,6700,03,11
"Fry Canyon",17,4.2,6,6700,01,12
"Fry Canyon",14,4.6,6,6700,02,12
"Fry Canyon",8,3.2,6,6700,03,12
"Fry Canyon",23,5.1,6,6700,01,13
"Fry Canyon",23,5.1,6,6700,01,13
"Fry Canyon",25,6.5,6,6700,02,13
"Fry Canyon",7,3.5,6,6700,03,13
"Fry Canyon",10,2.4,6,6700,01,14
"Fry Canyon",6,2.8,6,6700,03,14
"Fry Canyon",4,0.5,6,6700,03,14
"Fry Canyon",6,1.6,6,6700,01,15
"Fry Canyon",3,1.0,6,6700,02,15
"Fry Canyon",0,0.0,6,6700,03,15
"Fry Canyon",26,7.0,6,6700,01,16
"Fry Canyon",21,6.9,6,6700,02,16
"Fry Canyon",9,2.0,6,6700,03,16
