location,snow_depth,snow_water_equivalent,elevation_band,elevation,month,year
"Silver Creek #2",22,5.3,7,8000,02,00
"Silver Creek #2",0,0.0,7,8000,04,00
"Silver Creek #2",12,3.0,7,8000,02,03
"Silver Creek #2",14,4.5,7,8000,03,03
"Silver Creek #2",26,5.2,7,8000,03,04
"Silver Creek #2",4,1.5,7,8000,03,04
"Silver Creek #2",34,8.8,7,8000,02,05
"Silver Creek #2",36,12.2,7,8000,04,05
"Silver Creek #2",10,2.6,7,8000,03,06
"Silver Creek #2",24,6.2,7,8000,04,06
"Silver Creek #2",16,3.2,7,8000,02,07
"Silver Creek #2",10,2.5,7,8000,03,07
"Silver Creek #2",26,7.5,7,8000,02,08
"Silver Creek #2",18,6.3,7,8000,03,08
"Silver Creek #2",17,5.2,7,8000,02,09
"Silver Creek #2",15,5.1,7,8000,03,09
"Silver Creek #2",18,4.7,7,8000,02,10
"Silver Creek #2",24,7.3,7,8000,04,10
"Silver Creek #2",29,7.5,7,8000,02,11
"Silver Creek #2",31,9.3,7,8000,03,11
"Silver Creek #2",27,5.5,7,8000,03,12
"Silver Creek #2",14,4.6,7,8000,04,12
"Silver Creek #2",15,3.4,7,8000,03,13
"Silver Creek #2",7,1.9,7,8000,04,13
"Silver Creek #2",20,4.0,7,8000,03,14
"Silver Creek #2",15,3.8,7,8000,04,14
"Silver Creek #2",14,2.1,7,8000,03,15
"Silver Creek #2",0,0.0,7,8000,04,15
"Silver Creek #2",21,6.7,7,8000,03,16
"Silver Creek #2",21,7.1,7,8000,04,16
