location,snow_depth,snow_water_equivalent,elevation_band,elevation,month,year
"Fourmile Lake",23,7.4,5,5970,01,00
"Fourmile Lake",70,21.2,5,5970,02,00
"Fourmile Lake",86,27.2,5,5970,03,00
"Fourmile Lake",63,27.3,5,5970,04,00
"Fourmile Lake",34,16.0,5,5970,05,00
"Fourmile Lake",1,0.0,5,5970,06,00
"Fourmile Lake",22,6.4,5,5970,01,01
"Fourmile Lake",31,8.7,5,5970,02,01
"Fourmile Lake",37,11.5,5,5970,03,01
"Fourmile Lake",16,7.1,5,5970,04,01
"Fourmile Lake",4,2.7,5,5970,05,01
"Fourmile Lake",0,0.0,5,5970,06,01
"Fourmile Lake",61,18.9,5,5970,01,02
"Fourmile Lake",76,22.9,5,5970,02,02
"Fourmile Lake",77,27.2,5,5970,03,02
"Fourmile Lake",79,29.6,5,5970,04,02
"Fourmile Lake",45,19.5,5,5970,05,02
"Fourmile Lake",0,0.0,5,5970,06,02
"Fourmile Lake",59,14.9,5,5970,01,03
"Fourmile Lake",34,14.2,5,5970,02,03
"Fourmile Lake",41,14.8,5,5970,03,03
"Fourmile Lake",44,18.8,5,5970,04,03
"Fourmile Lake",51,21.7,5,5970,05,03
"Fourmile Lake",1,0.7,5,5970,06,03
"Fourmile Lake",63,15.5,5,5970,01,04
"Fourmile Lake",78,24.5,5,5970,02,04
"Fourmile Lake",107,32.8,5,5970,03,04
"Fourmile Lake",71,29.5,5,5970,04,04
"Fourmile Lake",43,20.0,5,5970,05,04
"Fourmile Lake",0,0.4,5,5970,06,04
"Fourmile Lake",,7.7,5,5970,01,05
"Fourmile Lake",27,9.8,5,5970,02,05
"Fourmile Lake",30,10.9,5,5970,03,05
"Fourmile Lake",36,12.7,5,5970,04,05
"Fourmile Lake",20,9.9,5,5970,05,05
"Fourmile Lake",0,0.0,5,5970,06,05
"Fourmile Lake",56,18.0,5,5970,01,06
"Fourmile Lake",100,31.5,5,5970,02,06
"Fourmile Lake",99,34.0,5,5970,03,06
"Fourmile Lake",108,39.8,5,5970,04,06
"Fourmile Lake",82,33.2,5,5970,05,06
"Fourmile Lake",28,14.0,5,5970,06,06
"Fourmile Lake",37,11.2,5,5970,01,07
"Fourmile Lake",49,15.8,5,5970,02,07
"Fourmile Lake",87,23.1,5,5970,03,07
"Fourmile Lake",51,21.4,5,5970,04,07
"Fourmile Lake",29,14.6,5,5970,05,07
"Fourmile Lake",0,0.0,5,5970,06,07
"Fourmile Lake",36,9.6,5,5970,01,08
"Fourmile Lake",92,23.1,5,5970,02,08
"Fourmile Lake",82,29.4,5,5970,03,08
"Fourmile Lake",91,35.8,5,5970,04,08
"Fourmile Lake",73,32.4,5,5970,05,08
"Fourmile Lake",14,9.5,5,5970,06,08
"Fourmile Lake",55,15.8,5,5970,01,09
"Fourmile Lake",52,19.0,5,5970,02,09
"Fourmile Lake",67,23.3,5,5970,03,09
"Fourmile Lake",76,30.7,5,5970,04,09
"Fourmile Lake",53,24.3,5,5970,05,09
"Fourmile Lake",0,0.0,5,5970,06,09
"Fourmile Lake",41,10.4,5,5970,01,10
"Fourmile Lake",41,13.8,5,5970,02,10
"Fourmile Lake",51,15.8,5,5970,03,10
"Fourmile Lake",55,20.1,5,5970,04,10
"Fourmile Lake",55,21.6,5,5970,05,10
"Fourmile Lake",22,11.8,5,5970,06,10
"Fourmile Lake",65,18.1,5,5970,01,11
"Fourmile Lake",41,16.5,5,5970,02,11
"Fourmile Lake",57,18.9,5,5970,03,11
"Fourmile Lake",81,30.8,5,5970,04,11
"Fourmile Lake",73,30.9,5,5970,05,11
"Fourmile Lake",45,20.8,5,5970,06,11
"Fourmile Lake",12,4.4,5,5970,01,12
"Fourmile Lake",36,13.0,5,5970,02,12
"Fourmile Lake",64,17.1,5,5970,03,12
"Fourmile Lake",80,26.2,5,5970,04,12
"Fourmile Lake",44,18.8,5,5970,05,12
"Fourmile Lake",0,0.0,5,5970,06,12
"Fourmile Lake",42,10.4,5,5970,01,13
"Fourmile Lake",42,13.1,5,5970,02,13
"Fourmile Lake",46,15.0,5,5970,03,13
"Fourmile Lake",33,14.0,5,5970,04,13
"Fourmile Lake",4,3.0,5,5970,05,13
"Fourmile Lake",0,0.0,5,5970,06,13
"Fourmile Lake",6,2.5,5,5970,01,14
"Fourmile Lake",11,4.6,5,5970,02,14
"Fourmile Lake",23,8.9,5,5970,03,14
"Fourmile Lake",28,10.9,5,5970,04,14
"Fourmile Lake",4,3.0,5,5970,05,14
"Fourmile Lake",0,0.0,5,5970,06,14
"Fourmile Lake",19,4.7,5,5970,01,15
"Fourmile Lake",14,4.7,5,5970,02,15
"Fourmile Lake",16,5.6,5,5970,03,15
"Fourmile Lake",3,0.8,5,5970,04,15
"Fourmile Lake",0,0.0,5,5970,05,15
"Fourmile Lake",0,0.0,5,5970,06,15
"Fourmile Lake",73,18.7,5,5970,01,16
"Fourmile Lake",88,27.5,5,5970,02,16
"Fourmile Lake",75,28.5,5,5970,03,16
"Fourmile Lake",77,33.0,5,5970,04,16
"Fourmile Lake",45,21.9,5,5970,05,16
"Fourmile Lake",0,0.0,5,5970,06,16
