location,snow_depth,snow_water_equivalent,elevation_band,elevation,month,year
"Salt Creek Falls",,6.1,4,4220,01,00
"Salt Creek Falls",,19.7,4,4220,02,00
"Salt Creek Falls",,20.9,4,4220,03,00
"Salt Creek Falls",,23.2,4,4220,04,00
"Salt Creek Falls",,7.5,4,4220,05,00
"Salt Creek Falls",,0.0,4,4220,06,00
"Salt Creek Falls",,7.3,4,4220,01,01
"Salt Creek Falls",,10.5,4,4220,02,01
"Salt Creek Falls",,12.6,4,4220,03,01
"Salt Creek Falls",,10.8,4,4220,04,01
"Salt Creek Falls",,8.7,4,4220,05,01
"Salt Creek Falls",,0.0,4,4220,06,01
"Salt Creek Falls",,13.1,4,4220,01,02
"Salt Creek Falls",,21.0,4,4220,02,02
"Salt Creek Falls",,24.3,4,4220,03,02
"Salt Creek Falls",,30.0,4,4220,04,02
"Salt Creek Falls",,19.9,4,4220,05,02
"Salt Creek Falls",,0.0,4,4220,06,02
"Salt Creek Falls",,3.7,4,4220,01,03
"Salt Creek Falls",,0.0,4,4220,02,03
"Salt Creek Falls",,3.3,4,4220,03,03
"Salt Creek Falls",,3.7,4,4220,04,03
"Salt Creek Falls",,2.1,4,4220,05,03
"Salt Creek Falls",,0.0,4,4220,06,03
"Salt Creek Falls",,9.8,4,4220,01,04
"Salt Creek Falls",,16.4,4,4220,02,04
"Salt Creek Falls",,21.3,4,4220,03,04
"Salt Creek Falls",,18.0,4,4220,04,04
"Salt Creek Falls",,2.5,4,4220,05,04
"Salt Creek Falls",,0.0,4,4220,06,04
"Salt Creek Falls",,2.7,4,4220,01,05
"Salt Creek Falls",,3.5,4,4220,02,05
"Salt Creek Falls",,4.1,4,4220,03,05
"Salt Creek Falls",,3.7,4,4220,04,05
"Salt Creek Falls",,0.0,4,4220,05,05
"Salt Creek Falls",,0.0,4,4220,06,05
"Salt Creek Falls",20,7.4,4,4220,01,06
"Salt Creek Falls",52,18.4,4,4220,02,06
"Salt Creek Falls",47,19.4,4,4220,03,06
"Salt Creek Falls",57,26.0,4,4220,04,06
"Salt Creek Falls",27,15.2,4,4220,05,06
"Salt Creek Falls",0,0.0,4,4220,06,06
"Salt Creek Falls",26,8.5,4,4220,01,07
"Salt Creek Falls",39,14.3,4,4220,02,07
"Salt Creek Falls",77,19.9,4,4220,03,07
"Salt Creek Falls",42,20.5,4,4220,04,07
"Salt Creek Falls",20,11.0,4,4220,05,07
"Salt Creek Falls",0,0.0,4,4220,06,07
"Salt Creek Falls",53,13.2,4,4220,01,08
"Salt Creek Falls",91,26.4,4,4220,02,08
"Salt Creek Falls",78,34.6,4,4220,03,08
"Salt Creek Falls",94,43.1,4,4220,04,08
"Salt Creek Falls",,45.4,4,4220,05,08
"Salt Creek Falls",22,17.3,4,4220,06,08
"Salt Creek Falls",41,12.5,4,4220,01,09
"Salt Creek Falls",42,15.0,4,4220,02,09
"Salt Creek Falls",50,17.8,4,4220,03,09
"Salt Creek Falls",68,28.1,4,4220,04,09
"Salt Creek Falls",48,25.7,4,4220,05,09
"Salt Creek Falls",0,0.0,4,4220,06,09
"Salt Creek Falls",25,5.5,4,4220,01,10
"Salt Creek Falls",16,5.6,4,4220,02,10
"Salt Creek Falls",14,2.7,4,4220,03,10
"Salt Creek Falls",32,7.4,4,4220,04,10
"Salt Creek Falls",24,8.3,4,4220,05,10
"Salt Creek Falls",0,0.0,4,4220,06,10
"Salt Creek Falls",43,14.8,4,4220,01,11
"Salt Creek Falls",32,13.9,4,4220,02,11
"Salt Creek Falls",66,22.4,4,4220,03,11
"Salt Creek Falls",70,32.8,4,4220,04,11
"Salt Creek Falls",74,36.2,4,4220,05,11
"Salt Creek Falls",37,22.0,4,4220,06,11
"Salt Creek Falls",12,3.1,4,4220,01,12
"Salt Creek Falls",27,7.3,4,4220,02,12
"Salt Creek Falls",53,10.0,4,4220,03,12
"Salt Creek Falls",54,19.8,4,4220,04,12
"Salt Creek Falls",27,12.5,4,4220,05,12
"Salt Creek Falls",0,0.0,4,4220,06,12
"Salt Creek Falls",31,8.4,4,4220,01,13
"Salt Creek Falls",47,14.5,4,4220,02,13
"Salt Creek Falls",53,20.3,4,4220,03,13
"Salt Creek Falls",40,19.2,4,4220,04,13
"Salt Creek Falls",15,9.9,4,4220,05,13
"Salt Creek Falls",0,0.0,4,4220,06,13
"Salt Creek Falls",4,1.5,4,4220,01,14
"Salt Creek Falls",10,2.6,4,4220,02,14
"Salt Creek Falls",21,7.1,4,4220,03,14
"Salt Creek Falls",23,9.2,4,4220,04,14
"Salt Creek Falls",1,0.7,4,4220,05,14
"Salt Creek Falls",0,0.0,4,4220,06,14
"Salt Creek Falls",21,4.3,4,4220,01,15
"Salt Creek Falls",4,2.3,4,4220,02,15
"Salt Creek Falls",1,0.2,4,4220,03,15
"Salt Creek Falls",1,0.3,4,4220,04,15
"Salt Creek Falls",0,0.0,4,4220,05,15
"Salt Creek Falls",0,0.0,4,4220,06,15
"Salt Creek Falls",50,13.4,4,4220,01,16
"Salt Creek Falls",50,17.0,4,4220,02,16
"Salt Creek Falls",38,16.1,4,4220,03,16
"Salt Creek Falls",38,18.0,4,4220,04,16
"Salt Creek Falls",7,3.5,4,4220,05,16
"Salt Creek Falls",0,0.0,4,4220,06,16
