location,snow_depth,snow_water_equivalent,elevation_band,elevation,month,year
Tipton,18,4.7,5,5150,01,00
Tipton,40,10.3,5,5150,02,00
Tipton,46,13.9,5,5150,03,00
Tipton,135,15.4,5,5150,04,00
Tipton,135,1.8,5,5150,05,00
Tipton,,0.0,5,5150,06,00
Tipton,20,4.0,5,5150,01,01
Tipton,26,5.9,5,5150,02,01
Tipton,27,7.2,5,5150,03,01
Tipton,14,7.8,5,5150,04,01
Tipton,,0.4,5,5150,05,01
Tipton,,0.0,5,5150,06,01
Tipton,27,7.3,5,5150,01,02
Tipton,40,11.5,5,5150,02,02
Tipton,39,13.0,5,5150,03,02
Tipton,36,15.5,5,5150,04,02
Tipton,1,3.9,5,5150,05,02
Tipton,0,0.0,5,5150,06,02
Tipton,30,4.6,5,5150,01,03
Tipton,20,6.5,5,5150,02,03
Tipton,27,8.1,5,5150,03,03
Tipton,20,10.8,5,5150,04,03
Tipton,0,2.4,5,5150,05,03
Tipton,0,0.0,5,5150,06,03
Tipton,34,7.4,5,5150,01,04
Tipton,44,12.1,5,5150,02,04
Tipton,48,15.1,5,5150,03,04
Tipton,32,14.4,5,5150,04,04
Tipton,0,2.4,5,5150,05,04
Tipton,0,0.0,5,5150,06,04
Tipton,14,3.3,5,5150,01,05
Tipton,18,5.1,5,5150,02,05
Tipton,22,5.9,5,5150,03,05
Tipton,23,7.8,5,5150,04,05
Tipton,0,0.0,5,5150,05,05
Tipton,0,0.0,5,5150,06,05
Tipton,38,9.0,5,5150,01,06
Tipton,59,14.8,5,5150,02,06
Tipton,46,16.1,5,5150,03,06
Tipton,44,16.4,5,5150,04,06
Tipton,13,5.8,5,5150,05,06
Tipton,0,0.0,5,5150,06,06
Tipton,24,4.9,5,5150,01,07
Tipton,27,6.6,5,5150,02,07
Tipton,36,8.4,5,5150,03,07
Tipton,21,7.5,5,5150,04,07
Tipton,0,0.0,5,5150,05,07
Tipton,0,0.0,5,5150,06,07
Tipton,29,5.9,5,5150,01,08
Tipton,54,11.5,5,5150,02,08
Tipton,46,14.4,5,5150,03,08
Tipton,51,14.8,5,5150,04,08
Tipton,25,12.7,5,5150,05,08
Tipton,0,0.0,5,5150,06,08
Tipton,22,5.4,5,5150,01,09
Tipton,29,6.7,5,5150,02,09
Tipton,33,8.5,5,5150,03,09
Tipton,36,11.3,5,5150,04,09
Tipton,11,6.3,5,5150,05,09
Tipton,0,0.0,5,5150,06,09
Tipton,29,5.2,5,5150,01,10
Tipton,31,7.6,5,5150,02,10
Tipton,35,10.4,5,5150,03,10
Tipton,32,11.8,5,5150,04,10
Tipton,6,3.0,5,5150,05,10
Tipton,0,0.0,5,5150,06,10
Tipton,41,9.2,5,5150,01,11
Tipton,27,10.0,5,5150,02,11
Tipton,34,10.9,5,5150,03,11
Tipton,42,16.1,5,5150,04,11
Tipton,27,13.9,5,5150,05,11
Tipton,0,0.0,5,5150,06,11
Tipton,12,2.4,5,5150,01,12
Tipton,32,6.2,5,5150,02,12
Tipton,32,7.6,5,5150,03,12
Tipton,31,9.0,5,5150,04,12
Tipton,0,0.0,5,5150,05,12
Tipton,0,0.0,5,5150,06,12
Tipton,19,3.6,5,5150,01,13
Tipton,29,6.8,5,5150,02,13
Tipton,35,8.3,5,5150,03,13
Tipton,20,7.3,5,5150,04,13
Tipton,0,0.0,5,5150,05,13
Tipton,0,0.0,5,5150,06,13
Tipton,8,1.1,5,5150,01,14
Tipton,15,3.1,5,5150,02,14
Tipton,28,7.7,5,5150,03,14
Tipton,27,9.8,5,5150,04,14
Tipton,2,1.1,5,5150,05,14
Tipton,0,0.0,5,5150,06,14
Tipton,23,5.2,5,5150,01,15
Tipton,23,6.3,5,5150,02,15
Tipton,21,6.1,5,5150,03,15
Tipton,6,2.3,5,5150,04,15
Tipton,0,0.0,5,5150,05,15
Tipton,0,0.0,5,5150,06,15
Tipton,33,7.8,5,5150,01,16
Tipton,48,13.9,5,5150,02,16
Tipton,39,14.5,5,5150,03,16
Tipton,35,15.7,5,5150,04,16
Tipton,0,0.0,5,5150,05,16
Tipton,0,0.0,5,5150,06,16
