location,snow_depth,snow_water_equivalent,elevation_band,elevation,month,year
"Trout Creek Am",32,9.3,7,7890,01,00
"Trout Creek Am",42,12.6,7,7890,03,00
"Trout Creek Am",44,16.3,7,7890,03,00
"Trout Creek Am",23,6.0,7,7890,01,01
"Trout Creek Am",32,8.0,7,7890,02,01
"Trout Creek Am",21,8.4,7,7890,03,01
"Trout Creek Am",35,12.2,7,7890,01,02
"Trout Creek Am",39,14.8,7,7890,02,02
"Trout Creek Am",35,13.3,7,7890,03,02
"Trout Creek Am",24,7.9,7,7890,01,03
"Trout Creek Am",24,7.2,7,7890,02,03
"Trout Creek Am",32,11.5,7,7890,03,03
"Trout Creek Am",32,9.4,7,7890,01,04
"Trout Creek Am",56,21.3,7,7890,03,04
"Trout Creek Am",26,10.4,7,7890,03,04
"Trout Creek Am",26,8.3,7,7890,02,05
"Trout Creek Am",36,11.5,7,7890,03,05
"Trout Creek Am",39,12.1,7,7890,03,05
"Trout Creek Am",36,9.7,7,7890,01,06
"Trout Creek Am",33,12.5,7,7890,02,06
"Trout Creek Am",50,20.0,7,7890,03,06
"Trout Creek Am",23,6.9,7,7890,01,07
"Trout Creek Am",37,9.2,7,7890,03,07
"Trout Creek Am",0,0.0,7,7890,03,07
"Trout Creek Am",39,12.5,7,7890,02,08
"Trout Creek Am",41,14.8,7,7890,04,08
"Trout Creek Am",22,6.8,7,7890,01,09
"Trout Creek Am",30,8.4,7,7890,02,09
"Trout Creek Am",25,8.5,7,7890,04,09
"Trout Creek Am",39,7.8,7,7890,01,10
"Trout Creek Am",40,12.4,7,7890,02,10
"Trout Creek Am",41,12.3,7,7890,03,10
"Trout Creek Am",23,6.2,7,7890,01,12
"Trout Creek Am",24,8.9,7,7890,02,12
"Trout Creek Am",25,9.5,7,7890,04,12
"Trout Creek Am",32,8.0,7,7890,02,13
"Trout Creek Am",8,1.8,7,7890,01,14
"Trout Creek Am",11,3.0,7,7890,02,14
"Trout Creek Am",19,5.1,7,7890,03,14
"Trout Creek Am",32,10.2,7,7890,04,14
"Trout Creek Am",8,4.0,7,7890,05,14
"Trout Creek Am",0,0.0,7,7890,06,14
"Trout Creek Am",32,7.4,7,7890,01,15
"Trout Creek Am",23,7.6,7,7890,02,15
"Trout Creek Am",22,8.1,7,7890,03,15
"Trout Creek Am",0,0.0,7,7890,04,15
"Trout Creek Am",0,0.0,7,7890,05,15
"Trout Creek Am",0,0.0,7,7890,06,15
"Trout Creek Am",26,6.5,7,7890,01,16
"Trout Creek Am",31,9.0,7,7890,02,16
"Trout Creek Am",24,9.8,7,7890,03,16
"Trout Creek Am",32,15.0,7,7890,04,16
"Trout Creek Am",1,0.5,7,7890,05,16
"Trout Creek Am",0,0.0,7,7890,06,16
