location,snow_depth,snow_water_equivalent,elevation_band,elevation,month,year
"Agua Canyon",1,0.1,8,8900,01,00
"Agua Canyon",1,0.4,8,8900,02,00
"Agua Canyon",20,4.8,8,8900,03,00
"Agua Canyon",17,6.2,8,8900,04,00
"Agua Canyon",0,0.0,8,8900,05,00
"Agua Canyon",0,0.0,8,8900,06,00
"Agua Canyon",12,2.4,8,8900,01,01
"Agua Canyon",32,6.7,8,8900,02,01
"Agua Canyon",41,10.7,8,8900,03,01
"Agua Canyon",22,9.0,8,8900,04,01
"Agua Canyon",0,0.0,8,8900,05,01
"Agua Canyon",0,0.0,8,8900,06,01
"Agua Canyon",11,1.8,8,8900,01,02
"Agua Canyon",14,2.4,8,8900,02,02
"Agua Canyon",9,2.5,8,8900,03,02
"Agua Canyon",0,0.0,8,8900,04,02
"Agua Canyon",0,0.0,8,8900,05,02
"Agua Canyon",0,0.0,8,8900,06,02
"Agua Canyon",9,1.4,8,8900,01,03
"Agua Canyon",5,1.7,8,8900,02,03
"Agua Canyon",26,4.6,8,8900,03,03
"Agua Canyon",8,2.5,8,8900,04,03
"Agua Canyon",0,0.0,8,8900,05,03
"Agua Canyon",0,0.0,8,8900,06,03
"Agua Canyon",20,4.3,8,8900,01,04
"Agua Canyon",23,5.3,8,8900,02,04
"Agua Canyon",50,10.9,8,8900,03,04
"Agua Canyon",8,2.2,8,8900,04,04
"Agua Canyon",0,0.0,8,8900,05,04
"Agua Canyon",0,0.0,8,8900,06,04
"Agua Canyon",35,7.4,8,8900,01,05
"Agua Canyon",57,15.9,8,8900,02,05
"Agua Canyon",64,19.9,8,8900,03,05
"Agua Canyon",65,22.4,8,8900,04,05
"Agua Canyon",30,12.8,8,8900,05,05
"Agua Canyon",0,0.0,8,8900,06,05
"Agua Canyon",7,1.4,8,8900,01,06
"Agua Canyon",16,3.5,8,8900,02,06
"Agua Canyon",15,4.8,8,8900,03,06
"Agua Canyon",28,8.8,8,8900,04,06
"Agua Canyon",0,0.0,8,8900,05,06
"Agua Canyon",0,0.0,8,8900,06,06
"Agua Canyon",12,2.7,8,8900,01,07
"Agua Canyon",17,3.8,8,8900,02,07
"Agua Canyon",24,5.4,8,8900,03,07
"Agua Canyon",0,0.0,8,8900,04,07
"Agua Canyon",0,0.0,8,8900,05,07
"Agua Canyon",0,0.0,8,8900,06,07
"Agua Canyon",18,3.8,8,8900,01,08
"Agua Canyon",45,10.6,8,8900,02,08
"Agua Canyon",43,13.3,8,8900,03,08
"Agua Canyon",27,10.2,8,8900,04,08
"Agua Canyon",0,0.0,8,8900,05,08
"Agua Canyon",0,0.0,8,8900,06,08
"Agua Canyon",27,7.2,8,8900,01,09
"Agua Canyon",22,7.2,8,8900,02,09
"Agua Canyon",27,9.1,8,8900,03,09
"Agua Canyon",0,0.0,8,8900,04,09
"Agua Canyon",0,0.0,8,8900,05,09
"Agua Canyon",0,0.0,8,8900,06,09
"Agua Canyon",21,4.6,8,8900,01,10
"Agua Canyon",45,10.7,8,8900,02,10
"Agua Canyon",43,12.5,8,8900,03,10
"Agua Canyon",39,13.8,8,8900,04,10
"Agua Canyon",1,0.2,8,8900,05,10
"Agua Canyon",0,0.0,8,8900,06,10
"Agua Canyon",40,9.5,8,8900,01,11
"Agua Canyon",31,9.5,8,8900,02,11
"Agua Canyon",55,13.9,8,8900,03,11
"Agua Canyon",38,14.3,8,8900,04,11
"Agua Canyon",1,0.1,8,8900,05,11
"Agua Canyon",0,0.0,8,8900,06,11
"Agua Canyon",13,2.9,8,8900,01,12
"Agua Canyon",19,4.2,8,8900,02,12
"Agua Canyon",27,6.1,8,8900,03,12
"Agua Canyon",0,0.0,8,8900,04,12
"Agua Canyon",0,0.0,8,8900,05,12
"Agua Canyon",0,0.0,8,8900,06,12
"Agua Canyon",17,3.9,8,8900,01,13
"Agua Canyon",21,5.6,8,8900,02,13
"Agua Canyon",23,6.1,8,8900,03,13
"Agua Canyon",4,1.5,8,8900,04,13
"Agua Canyon",0,0.0,8,8900,05,13
"Agua Canyon",0,0.0,8,8900,06,13
"Agua Canyon",19,4.7,8,8900,01,14
"Agua Canyon",26,5.1,8,8900,02,14
"Agua Canyon",13,4.2,8,8900,03,14
"Agua Canyon",0,0.0,8,8900,04,14
"Agua Canyon",0,0.0,8,8900,05,14
"Agua Canyon",0,0.0,8,8900,06,14
"Agua Canyon",20,2.1,8,8900,01,15
"Agua Canyon",19,4.5,8,8900,02,15
"Agua Canyon",29,6.4,8,8900,03,15
"Agua Canyon",5,1.8,8,8900,04,15
"Agua Canyon",0,0.0,8,8900,05,15
"Agua Canyon",0,0.0,8,8900,06,15
"Agua Canyon",14,3.2,8,8900,01,16
"Agua Canyon",34,7.1,8,8900,02,16
"Agua Canyon",15,5.5,8,8900,03,16
"Agua Canyon",3,0.9,8,8900,04,16
"Agua Canyon",1,0.2,8,8900,05,16
"Agua Canyon",0,0.0,8,8900,06,16
