location,snow_depth,snow_water_equivalent,elevation_band,elevation,month,year
"Clayton Springs",34,8.7,10,10049,01,01
"Clayton Springs",56,13.1,10,10049,02,01
"Clayton Springs",65,16.0,10,10049,03,01
"Clayton Springs",49,18.8,10,10049,04,01
"Clayton Springs",31,12.1,10,10049,05,01
"Clayton Springs",0,0.0,10,10049,06,01
"Clayton Springs",19,3.1,10,10049,01,02
"Clayton Springs",25,3.6,10,10049,02,02
"Clayton Springs",27,4.6,10,10049,03,02
"Clayton Springs",14,3.8,10,10049,04,02
"Clayton Springs",0,0.0,10,10049,05,02
"Clayton Springs",0,0.0,10,10049,06,02
"Clayton Springs",24,3.4,10,10049,01,03
"Clayton Springs",21,4.2,10,10049,02,03
"Clayton Springs",37,7.0,10,10049,03,03
"Clayton Springs",33,9.8,10,10049,04,03
"Clayton Springs",10,2.7,10,10049,05,03
"Clayton Springs",0,0.0,10,10049,06,03
"Clayton Springs",29,5.4,10,10049,01,04
"Clayton Springs",30,6.2,10,10049,02,04
"Clayton Springs",59,12.2,10,10049,03,04
"Clayton Springs",21,9.2,10,10049,04,04
"Clayton Springs",15,5.3,10,10049,05,04
"Clayton Springs",0,0.0,10,10049,06,04
"Clayton Springs",51,11.7,10,10049,01,05
"Clayton Springs",67,17.9,10,10049,02,05
"Clayton Springs",74,21.7,10,10049,03,05
"Clayton Springs",72,24.3,10,10049,04,05
"Clayton Springs",53,20.8,10,10049,05,05
"Clayton Springs",0,0.0,10,10049,06,05
"Clayton Springs",13,2.3,10,10049,01,06
"Clayton Springs",26,4.7,10,10049,02,06
"Clayton Springs",28,6.5,10,10049,03,06
"Clayton Springs",48,12.8,10,10049,04,06
"Clayton Springs",9,2.8,10,10049,05,06
"Clayton Springs",0,0.0,10,10049,06,06
"Clayton Springs",20,3.9,10,10049,01,07
"Clayton Springs",31,5.5,10,10049,02,07
"Clayton Springs",38,7.7,10,10049,03,07
"Clayton Springs",14,6.8,10,10049,04,07
"Clayton Springs",0,0.0,10,10049,05,07
"Clayton Springs",0,0.0,10,10049,06,07
"Clayton Springs",19,3.6,10,10049,01,08
"Clayton Springs",35,7.1,10,10049,02,08
"Clayton Springs",39,10.1,10,10049,03,08
"Clayton Springs",29,10.1,10,10049,04,08
"Clayton Springs",0,0.0,10,10049,05,08
"Clayton Springs",0,0.0,10,10049,06,08
"Clayton Springs",26,5.3,10,10049,01,09
"Clayton Springs",31,6.8,10,10049,02,09
"Clayton Springs",39,9.7,10,10049,03,09
"Clayton Springs",30,10.6,10,10049,04,09
"Clayton Springs",10,4.1,10,10049,05,09
"Clayton Springs",0,0.0,10,10049,06,09
"Clayton Springs",29,5.2,10,10049,01,10
"Clayton Springs",43,9.1,10,10049,02,10
"Clayton Springs",49,12.1,10,10049,03,10
"Clayton Springs",52,16.0,10,10049,04,10
"Clayton Springs",33,12.0,10,10049,05,10
"Clayton Springs",0,0.0,10,10049,06,10
"Clayton Springs",47,9.7,10,10049,01,11
"Clayton Springs",41,10.0,10,10049,02,11
"Clayton Springs",61,14.2,10,10049,03,11
"Clayton Springs",47,15.6,10,10049,04,11
"Clayton Springs",36,13.6,10,10049,05,11
"Clayton Springs",0,0.0,10,10049,06,11
"Clayton Springs",21,4.4,10,10049,01,12
"Clayton Springs",27,5.8,10,10049,02,12
"Clayton Springs",38,8.1,10,10049,03,12
"Clayton Springs",21,7.5,10,10049,04,12
"Clayton Springs",0,0.0,10,10049,05,12
"Clayton Springs",0,0.0,10,10049,06,12
"Clayton Springs",24,4.4,10,10049,01,13
"Clayton Springs",35,6.8,10,10049,02,13
"Clayton Springs",40,8.6,10,10049,03,13
"Clayton Springs",29,9.2,10,10049,04,13
"Clayton Springs",4,1.4,10,10049,05,13
"Clayton Springs",0,0.0,10,10049,06,13
"Clayton Springs",26,5.4,10,10049,01,14
"Clayton Springs",30,5.9,10,10049,02,14
"Clayton Springs",38,8.0,10,10049,03,14
"Clayton Springs",31,9.0,10,10049,04,14
"Clayton Springs",9,2.4,10,10049,05,14
"Clayton Springs",0,0.0,10,10049,06,14
"Clayton Springs",37,5.1,10,10049,01,15
"Clayton Springs",34,7.2,10,10049,02,15
"Clayton Springs",44,8.7,10,10049,03,15
"Clayton Springs",20,6.8,10,10049,04,15
"Clayton Springs",0,0.0,10,10049,05,15
"Clayton Springs",0,0.0,10,10049,06,15
"Clayton Springs",30,6.1,10,10049,01,16
"Clayton Springs",47,9.3,10,10049,02,16
"Clayton Springs",35,9.8,10,10049,03,16
"Clayton Springs",31,11.5,10,10049,04,16
"Clayton Springs",15,3.7,10,10049,05,16
"Clayton Springs",0,0.0,10,10049,06,16
