location,snow_depth,snow_water_equivalent,elevation_band,elevation,month,year
Corral,23,9.5,8,8159,03,00
Corral,28,9.2,8,8159,03,01
Corral,16,3.7,8,8159,03,02
Corral,21,7.3,8,8159,03,03
Corral,12,4.2,8,8159,03,04
Corral,51,18.3,8,8159,03,05
Corral,14,3.3,8,8159,02,06
Corral,14,5.5,8,8159,03,06
Corral,0,0.0,8,8159,04,06
Corral,21,4.7,8,8159,02,07
Corral,4,0.5,8,8159,03,07
Corral,0,0.0,8,8159,04,07
Corral,52,15.2,8,8159,02,08
Corral,43,15.1,8,8159,03,08
Corral,23,8.6,8,8159,04,08
Corral,26,7.1,8,8159,02,09
Corral,12,3.7,8,8159,03,09
Corral,1,0.5,8,8159,04,09
Corral,34,10.7,8,8159,03,10
