location,snow_depth,snow_water_equivalent,elevation_band,elevation,month,year
"Spirit Lake",37,7.8,10,10223,02,00
"Spirit Lake",39,13.0,10,10223,03,00
"Spirit Lake",25,11.5,10,10223,04,00
"Spirit Lake",50,12.3,10,10223,02,01
"Spirit Lake",46,14.6,10,10223,03,01
"Spirit Lake",51,16.1,10,10223,04,01
"Spirit Lake",27,5.6,10,10223,02,02
"Spirit Lake",35,8.7,10,10223,03,02
"Spirit Lake",15,6.7,10,10223,04,02
"Spirit Lake",40,6.8,10,10223,02,03
"Spirit Lake",51,11.2,10,10223,03,03
"Spirit Lake",26,9.4,10,10223,04,03
"Spirit Lake",57,11.1,10,10223,03,04
"Spirit Lake",27,10.5,10,10223,03,04
"Spirit Lake",26,11.1,10,10223,04,04
"Spirit Lake",58,18.4,10,10223,02,05
"Spirit Lake",71,20.6,10,10223,03,05
"Spirit Lake",52,19.8,10,10223,04,05
"Spirit Lake",29,7.0,10,10223,02,06
"Spirit Lake",47,11.7,10,10223,03,06
"Spirit Lake",26,9.5,10,10223,04,06
"Spirit Lake",41,9.5,10,10223,02,07
"Spirit Lake",47,11.4,10,10223,03,07
"Spirit Lake",32,12.4,10,10223,04,07
"Spirit Lake",41,10.7,10,10223,02,08
"Spirit Lake",37,11.2,10,10223,03,08
"Spirit Lake",31,11.0,10,10223,04,08
"Spirit Lake",24,6.5,10,10223,02,09
"Spirit Lake",30,7.6,10,10223,03,09
"Spirit Lake",43,13.5,10,10223,04,09
"Spirit Lake",36,8.9,10,10223,02,10
"Spirit Lake",44,12.3,10,10223,03,10
"Spirit Lake",49,13.8,10,10223,03,11
"Spirit Lake",48,17.1,10,10223,04,11
