location,snow_depth,snow_water_equivalent,elevation_band,elevation,month,year
"Beaver Pass",34,10.4,4,3621,12,99
"Beaver Pass",61,19.8,4,3621,01,00
"Beaver Pass",70,25.8,4,3621,02,00
"Beaver Pass",70,30.3,4,3621,04,00
"Beaver Pass",51,23.3,4,3621,04,00
"Beaver Pass",19,9.3,4,3621,05,00
"Beaver Pass",19,4.8,4,3621,12,00
"Beaver Pass",34,7.7,4,3621,02,01
"Beaver Pass",37,12.1,4,3621,03,01
"Beaver Pass",34,12.7,4,3621,03,01
"Beaver Pass",23,8.9,4,3621,04,01
"Beaver Pass",0,0.0,4,3621,05,01
"Beaver Pass",43,15.0,4,3621,12,01
"Beaver Pass",72,23.4,4,3621,01,02
"Beaver Pass",79,30.1,4,3621,02,02
"Beaver Pass",87,34.1,4,3621,03,02
"Beaver Pass",72,33.4,4,3621,04,02
"Beaver Pass",42,22.8,4,3621,05,02
"Beaver Pass",33,5.4,4,3621,12,02
"Beaver Pass",40,13.9,4,3621,01,03
"Beaver Pass",44,15.1,4,3621,03,03
"Beaver Pass",53,22.0,4,3621,03,03
"Beaver Pass",42,17.2,4,3621,04,03
"Beaver Pass",10,5.5,4,3621,05,03
"Beaver Pass",81,15.9,4,3621,01,04
"Beaver Pass",57,20.4,4,3621,01,04
"Beaver Pass",59,22.1,4,3621,02,04
"Beaver Pass",54,21.7,4,3621,03,04
"Beaver Pass",33,16.0,4,3621,04,04
"Beaver Pass",1,0.2,4,3621,05,04
"Beaver Pass",18,4.3,4,3621,12,04
"Beaver Pass",14,5.2,4,3621,01,05
"Beaver Pass",13,4.0,4,3621,02,05
"Beaver Pass",17,4.4,4,3621,03,05
"Beaver Pass",13,3.1,4,3621,04,05
"Beaver Pass",23,5.3,4,3621,12,05
"Beaver Pass",100,41.6,4,3621,02,06
"Beaver Pass",86,29.3,4,3621,03,06
"Beaver Pass",82,30.4,4,3621,04,06
"Beaver Pass",66,30.8,4,3621,04,06
"Beaver Pass",36,18.6,4,3621,05,06
"Beaver Pass",93,13.7,4,3621,12,06
"Beaver Pass",83,31.9,4,3621,01,07
"Beaver Pass",102,34.7,4,3621,02,07
"Beaver Pass",82,36.6,4,3621,03,07
"Beaver Pass",71,33.2,4,3621,04,07
"Beaver Pass",41,18.4,4,3621,05,07
"Beaver Pass",60,13.3,4,3621,12,07
"Beaver Pass",90,27.4,4,3621,02,08
"Beaver Pass",85,32.9,4,3621,02,08
"Beaver Pass",95,36.6,4,3621,03,08
"Beaver Pass",80,34.3,4,3621,04,08
"Beaver Pass",40,20.1,4,3621,05,08
"Beaver Pass",51,16.5,4,3621,12,10
"Beaver Pass",51,17.9,4,3621,02,11
"Beaver Pass",69,22.1,4,3621,02,11
"Beaver Pass",98,35.8,4,3621,04,11
"Beaver Pass",100,44.0,4,3621,05,11
"Beaver Pass",47,11.8,4,3621,12,11
"Beaver Pass",72,27.2,4,3621,01,12
"Beaver Pass",80,28.6,4,3621,02,12
"Beaver Pass",126,42.2,4,3621,04,12
"Beaver Pass",96,37.7,4,3621,04,12
"Beaver Pass",84,17.4,4,3621,12,12
"Beaver Pass",79,25.8,4,3621,02,13
"Beaver Pass",85,32.0,4,3621,03,13
"Beaver Pass",87,37.1,4,3621,03,13
"Beaver Pass",72,31.4,4,3621,04,13
"Beaver Pass",11,1.7,4,3621,12,13
"Beaver Pass",20,4.5,4,3621,02,14
"Beaver Pass",64,20.4,4,3621,03,14
"Beaver Pass",71,26.4,4,3621,03,14
"Beaver Pass",60,24.5,4,3621,04,14
"Beaver Pass",17,3.7,4,3621,12,14
"Beaver Pass",22,6.3,4,3621,01,15
"Beaver Pass",15,4.4,4,3621,03,15
"Beaver Pass",5,1.0,4,3621,03,15
"Beaver Pass",0,0.0,4,3621,05,15
"Beaver Pass",54,15.1,4,3621,01,16
"Beaver Pass",68,27.0,4,3621,02,16
"Beaver Pass",65,22.8,4,3621,02,16
"Beaver Pass",73,31.4,4,3621,04,16
"Beaver Pass",41,19.4,4,3621,05,16
