location,snow_depth,snow_water_equivalent,elevation_band,elevation,month,year
"Bumping Ridge",,10.5,4,4610,01,00
"Bumping Ridge",,20.0,4,4610,02,00
"Bumping Ridge",,26.1,4,4610,03,00
"Bumping Ridge",,30.0,4,4610,04,00
"Bumping Ridge",,24.0,4,4610,05,00
"Bumping Ridge",,12.4,4,4610,06,00
"Bumping Ridge",,7.9,4,4610,01,01
"Bumping Ridge",,10.3,4,4610,02,01
"Bumping Ridge",,14.1,4,4610,03,01
"Bumping Ridge",,15.9,4,4610,04,01
"Bumping Ridge",,15.9,4,4610,05,01
"Bumping Ridge",,0.0,4,4610,06,01
"Bumping Ridge",,17.0,4,4610,01,02
"Bumping Ridge",,25.1,4,4610,02,02
"Bumping Ridge",,29.1,4,4610,03,02
"Bumping Ridge",,37.1,4,4610,04,02
"Bumping Ridge",,34.2,4,4610,05,02
"Bumping Ridge",,10.6,4,4610,06,02
"Bumping Ridge",,7.9,4,4610,01,03
"Bumping Ridge",,13.9,4,4610,02,03
"Bumping Ridge",,16.0,4,4610,03,03
"Bumping Ridge",,21.6,4,4610,04,03
"Bumping Ridge",,20.5,4,4610,05,03
"Bumping Ridge",,4.6,4,4610,06,03
"Bumping Ridge",57,14.1,4,4610,01,04
"Bumping Ridge",73,22.0,4,4610,02,04
"Bumping Ridge",74,24.4,4,4610,03,04
"Bumping Ridge",71,26.3,4,4610,04,04
"Bumping Ridge",38,17.1,4,4610,05,04
"Bumping Ridge",0,0.0,4,4610,06,04
"Bumping Ridge",14,3.8,4,4610,01,05
"Bumping Ridge",4,2.2,4,4610,02,05
"Bumping Ridge",6,2.6,4,4610,03,05
"Bumping Ridge",23,5.4,4,4610,04,05
"Bumping Ridge",1,0.4,4,4610,05,05
"Bumping Ridge",0,0.0,4,4610,06,05
"Bumping Ridge",50,13.1,4,4610,01,06
"Bumping Ridge",101,28.7,4,4610,02,06
"Bumping Ridge",96,32.8,4,4610,03,06
"Bumping Ridge",94,36.6,4,4610,04,06
"Bumping Ridge",75,32.2,4,4610,05,06
"Bumping Ridge",18,10.8,4,4610,06,06
"Bumping Ridge",,18.2,4,4610,01,07
"Bumping Ridge",72,23.9,4,4610,02,07
"Bumping Ridge",88,30.2,4,4610,03,07
"Bumping Ridge",63,27.3,4,4610,04,07
"Bumping Ridge",,21.5,4,4610,05,07
"Bumping Ridge",0,0.0,4,4610,06,07
"Bumping Ridge",64,13.3,4,4610,01,08
"Bumping Ridge",104,23.9,4,4610,02,08
"Bumping Ridge",87,31.2,4,4610,03,08
"Bumping Ridge",102,36.2,4,4610,04,08
"Bumping Ridge",85,35.9,4,4610,05,08
"Bumping Ridge",28,14.5,4,4610,06,08
"Bumping Ridge",62,12.1,4,4610,01,09
"Bumping Ridge",60,19.5,4,4610,02,09
"Bumping Ridge",72,22.6,4,4610,03,09
"Bumping Ridge",92,31.5,4,4610,04,09
"Bumping Ridge",72,29.4,4,4610,05,09
"Bumping Ridge",20,10.5,4,4610,06,09
"Bumping Ridge",42,11.3,4,4610,01,10
"Bumping Ridge",58,16.1,4,4610,02,10
"Bumping Ridge",65,18.8,4,4610,03,10
"Bumping Ridge",87,24.6,4,4610,04,10
"Bumping Ridge",65,24.7,4,4610,05,10
"Bumping Ridge",33,13.5,4,4610,06,10
"Bumping Ridge",51,13.2,4,4610,01,11
"Bumping Ridge",45,16.5,4,4610,02,11
"Bumping Ridge",94,22.2,4,4610,03,11
"Bumping Ridge",94,32.6,4,4610,04,11
"Bumping Ridge",95,36.4,4,4610,05,11
"Bumping Ridge",52,23.0,4,4610,06,11
"Bumping Ridge",41,11.4,4,4610,01,12
"Bumping Ridge",69,20.7,4,4610,02,12
"Bumping Ridge",94,28.0,4,4610,03,12
"Bumping Ridge",118,37.8,4,4610,04,12
"Bumping Ridge",77,30.0,4,4610,05,12
"Bumping Ridge",23,12.0,4,4610,06,12
"Bumping Ridge",55,13.7,4,4610,01,13
"Bumping Ridge",60,17.8,4,4610,02,13
"Bumping Ridge",74,21.6,4,4610,03,13
"Bumping Ridge",57,22.0,4,4610,04,13
"Bumping Ridge",46,18.9,4,4610,05,13
"Bumping Ridge",0,0.0,4,4610,06,13
"Bumping Ridge",12,4.0,4,4610,01,14
"Bumping Ridge",35,10.3,4,4610,02,14
"Bumping Ridge",78,21.9,4,4610,03,14
"Bumping Ridge",76,27.6,4,4610,04,14
"Bumping Ridge",59,22.9,4,4610,05,14
"Bumping Ridge",0,0.0,4,4610,06,14
"Bumping Ridge",15,3.1,4,4610,01,15
"Bumping Ridge",16,5.3,4,4610,02,15
"Bumping Ridge",16,4.8,4,4610,03,15
"Bumping Ridge",2,0.2,4,4610,04,15
"Bumping Ridge",0,0.0,4,4610,05,15
"Bumping Ridge",0,0.0,4,4610,06,15
"Bumping Ridge",62,15.0,4,4610,01,16
"Bumping Ridge",65,21.0,4,4610,02,16
"Bumping Ridge",65,24.7,4,4610,03,16
"Bumping Ridge",75,30.1,4,4610,04,16
"Bumping Ridge",36,16.8,4,4610,05,16
"Bumping Ridge",0,0.0,4,4610,06,16
