location,snow_depth,snow_water_equivalent,elevation_band,elevation,month,year
"Easy Pass Am",,33.0,5,5390,01,00
"Easy Pass Am",,48.0,5,5390,03,00
"Easy Pass Am",,62.0,5,5390,05,00
"Easy Pass Am",,75.0,5,5390,07,00
"Easy Pass Am",204,103.0,5,5390,04,00
"Easy Pass Am",36,10.8,5,5390,12,00
"Easy Pass Am",54,16.2,5,5390,02,01
"Easy Pass Am",75,26.2,5,5390,02,01
"Easy Pass Am",,41.0,5,5390,07,01
"Easy Pass Am",,46.0,5,5390,09,01
"Easy Pass Am",,29.0,5,5390,11,00
"Easy Pass Am",,47.0,5,5390,01,02
"Easy Pass Am",,70.0,5,5390,03,02
"Easy Pass Am",,68.5,5,5390,05,02
"Easy Pass Am",,105.0,5,5390,07,02
"Easy Pass Am",,110.0,5,5390,09,02
"Easy Pass Am",,95.0,5,5390,11,01
"Easy Pass Am",,25.5,5,5390,01,03
"Easy Pass Am",,33.0,5,5390,03,03
"Easy Pass Am",,45.5,5,5390,05,03
"Easy Pass Am",,56.0,5,5390,07,03
"Easy Pass Am",,75.5,5,5390,09,03
"Easy Pass Am",,60.0,5,5390,11,02
"Easy Pass Am",,42.4,5,5390,03,04
"Easy Pass Am",,55.0,5,5390,05,04
"Easy Pass Am",,60.0,5,5390,07,04
"Easy Pass Am",,55.0,5,5390,11,03
"Easy Pass Am",,15.3,5,5390,05,05
"Easy Pass Am",,7.0,5,5390,11,04
"Easy Pass Am",144,51.8,5,5390,01,06
"Easy Pass Am",177,70.8,5,5390,03,06
"Easy Pass Am",144,74.9,5,5390,05,06
"Easy Pass Am",108,41.0,5,5390,12,06
"Easy Pass Am",150,60.0,5,5390,01,07
"Easy Pass Am",,84.5,5,5390,05,07
"Easy Pass Am",144,83.0,5,5390,03,07
"Easy Pass Am",,86.5,5,5390,05,07
"Easy Pass Am",,27.0,5,5390,01,08
"Easy Pass Am",,46.2,5,5390,03,08
"Easy Pass Am",151,68.0,5,5390,03,08
"Easy Pass Am",142,65.3,5,5390,04,08
"Easy Pass Am",,93.8,5,5390,09,08
"Easy Pass Am",72,21.6,5,5390,12,10
"Easy Pass Am",112,43.7,5,5390,01,11
"Easy Pass Am",145,60.9,5,5390,04,11
"Easy Pass Am",240,108.0,5,5390,05,11
"Easy Pass Am",120,55.0,5,5390,06,11
"Easy Pass Am",223,78.0,5,5390,01,12
"Easy Pass Am",144,78.0,5,5390,03,12
"Easy Pass Am",130,78.0,5,5390,04,12
"Easy Pass Am",86,49.9,5,5390,06,12
"Easy Pass Am",117,51.5,5,5390,02,13
"Easy Pass Am",149,56.6,5,5390,03,13
"Easy Pass Am",186,93.0,5,5390,03,13
"Easy Pass Am",176,95.3,5,5390,05,13
"Easy Pass Am",86,50.1,5,5390,06,13
"Easy Pass Am",108,43.2,5,5390,02,14
"Easy Pass Am",144,53.3,5,5390,03,14
"Easy Pass Am",180,81.0,5,5390,04,14
"Easy Pass Am",175,85.8,5,5390,04,14
"Easy Pass Am",28,24.0,5,5390,02,15
"Easy Pass Am",54,31.5,5,5390,02,15
"Easy Pass Am",102,46.0,5,5390,04,15
