location,snow_depth,snow_water_equivalent,elevation_band,elevation,month,year
"Freezeout Cr. Tr.",16,4.1,4,3500,12,99
"Freezeout Cr. Tr.",30,8.1,4,3500,01,00
"Freezeout Cr. Tr.",35,10.7,4,3500,02,00
"Freezeout Cr. Tr.",31,11.6,4,3500,04,00
"Freezeout Cr. Tr.",9,2.8,4,3500,04,00
"Freezeout Cr. Tr.",0,0.0,4,3500,05,00
"Freezeout Cr. Tr.",14,2.6,4,3500,12,00
"Freezeout Cr. Tr.",17,3.6,4,3500,01,01
"Freezeout Cr. Tr.",22,5.4,4,3500,02,01
"Freezeout Cr. Tr.",16,4.6,4,3500,03,01
"Freezeout Cr. Tr.",3,0.9,4,3500,04,01
"Freezeout Cr. Tr.",0,0.0,4,3500,05,01
"Freezeout Cr. Tr.",17,3.1,4,3500,12,01
"Freezeout Cr. Tr.",30,7.1,4,3500,01,02
"Freezeout Cr. Tr.",37,10.8,4,3500,02,02
"Freezeout Cr. Tr.",42,13.9,4,3500,03,02
"Freezeout Cr. Tr.",21,9.7,4,3500,04,02
"Freezeout Cr. Tr.",0,0.0,4,3500,05,02
"Freezeout Cr. Tr.",14,1.6,4,3500,12,02
"Freezeout Cr. Tr.",16,5.0,4,3500,01,03
"Freezeout Cr. Tr.",19,5.7,4,3500,02,03
"Freezeout Cr. Tr.",22,7.8,4,3500,03,03
"Freezeout Cr. Tr.",6,1.9,4,3500,04,03
"Freezeout Cr. Tr.",0,0.0,4,3500,05,03
"Freezeout Cr. Tr.",32,7.3,4,3500,12,03
"Freezeout Cr. Tr.",32,9.8,4,3500,01,04
"Freezeout Cr. Tr.",33,11.1,4,3500,02,04
"Freezeout Cr. Tr.",22,7.8,4,3500,03,04
"Freezeout Cr. Tr.",1,0.4,4,3500,04,04
"Freezeout Cr. Tr.",0,0.0,4,3500,05,04
"Freezeout Cr. Tr.",2,0.9,4,3500,01,05
"Freezeout Cr. Tr.",2,0.6,4,3500,02,05
"Freezeout Cr. Tr.",6,4.8,4,3500,03,05
"Freezeout Cr. Tr.",0,0.0,4,3500,04,05
"Freezeout Cr. Tr.",,0.1,4,3500,01,06
"Freezeout Cr. Tr.",,10.0,4,3500,03,06
"Freezeout Cr. Tr.",,11.5,4,3500,05,06
"Freezeout Cr. Tr.",40,13.8,4,3500,04,06
"Freezeout Cr. Tr.",16,7.2,4,3500,04,06
"Freezeout Cr. Tr.",0,0.0,4,3500,05,06
"Freezeout Cr. Tr.",37,9.3,4,3500,12,06
"Freezeout Cr. Tr.",38,13.0,4,3500,01,07
"Freezeout Cr. Tr.",37,11.8,4,3500,02,07
"Freezeout Cr. Tr.",29,11.2,4,3500,03,07
"Freezeout Cr. Tr.",15,5.6,4,3500,04,07
"Freezeout Cr. Tr.",0,0.0,4,3500,05,07
"Freezeout Cr. Tr.",28,6.4,4,3500,01,08
"Freezeout Cr. Tr.",40,10.8,4,3500,01,08
"Freezeout Cr. Tr.",44,15.4,4,3500,03,08
"Freezeout Cr. Tr.",46,15.7,4,3500,03,08
"Freezeout Cr. Tr.",34,15.1,4,3500,05,08
"Freezeout Cr. Tr.",0,0.0,4,3500,05,08
"Freezeout Cr. Tr.",22,6.6,4,3500,12,10
"Freezeout Cr. Tr.",27,7.1,4,3500,01,11
"Freezeout Cr. Tr.",34,9.1,4,3500,02,11
"Freezeout Cr. Tr.",42,12.9,4,3500,04,11
"Freezeout Cr. Tr.",34,12.3,4,3500,05,11
"Freezeout Cr. Tr.",30,7.6,4,3500,12,11
"Freezeout Cr. Tr.",47,12.0,4,3500,01,12
"Freezeout Cr. Tr.",55,16.1,4,3500,02,12
"Freezeout Cr. Tr.",64,21.9,4,3500,04,12
"Freezeout Cr. Tr.",40,15.4,4,3500,04,12
"Freezeout Cr. Tr.",23,5.4,4,3500,12,12
"Freezeout Cr. Tr.",28,8.6,4,3500,02,13
"Freezeout Cr. Tr.",31,9.7,4,3500,03,13
"Freezeout Cr. Tr.",28,11.3,4,3500,03,13
"Freezeout Cr. Tr.",13,4.9,4,3500,05,13
"Freezeout Cr. Tr.",21,5.8,4,3500,01,14
"Freezeout Cr. Tr.",38,10.0,4,3500,03,14
"Freezeout Cr. Tr.",36,13.2,4,3500,03,14
"Freezeout Cr. Tr.",22,6.8,4,3500,04,14
"Freezeout Cr. Tr.",20,4.1,4,3500,12,14
"Freezeout Cr. Tr.",13,3.6,4,3500,01,15
"Freezeout Cr. Tr.",8,2.2,4,3500,02,15
"Freezeout Cr. Tr.",0,0.0,4,3500,03,15
"Freezeout Cr. Tr.",0,0.0,4,3500,05,15
"Freezeout Cr. Tr.",26,6.8,4,3500,12,15
"Freezeout Cr. Tr.",30,8.8,4,3500,01,16
"Freezeout Cr. Tr.",27,8.2,4,3500,02,16
"Freezeout Cr. Tr.",0,0.0,4,3500,04,16
