location,snow_depth,snow_water_equivalent,elevation_band,elevation,month,year
Meteor,22,5.0,4,2220,01,02
Meteor,20,5.1,4,2220,02,02
Meteor,14,4.6,4,2220,03,02
Meteor,19,5.0,4,2220,01,03
Meteor,15,4.2,4,2220,02,03
Meteor,20,4.7,4,2220,01,04
Meteor,18,5.2,4,2220,02,04
Meteor,14,3.9,4,2220,01,05
Meteor,13,4.1,4,2220,02,05
Meteor,20,4.7,4,2220,01,06
Meteor,22,6.6,4,2220,02,06
Meteor,0,0.0,4,2220,03,06
Meteor,21,4.9,4,2220,01,07
Meteor,22,6.6,4,2220,02,07
Meteor,0,0.0,4,2220,03,07
Meteor,30,7.2,4,2220,01,08
Meteor,27,8.1,4,2220,02,08
Meteor,22,6.6,4,2220,03,08
Meteor,16,6.0,4,2220,01,11
Meteor,17,3.1,4,2220,02,11
Meteor,0,0.0,4,2220,03,11
Meteor,17,3.5,4,2220,01,12
Meteor,14,3.5,4,2220,02,12
Meteor,10,3.3,4,2220,03,12
Meteor,20,4.8,4,2220,01,13
Meteor,20,4.9,4,2220,02,13
Meteor,0,0.0,4,2220,03,13
Meteor,5,1.0,4,2220,01,14
Meteor,16,3.8,4,2220,02,14
Meteor,0,0.0,4,2220,03,14
Meteor,11,2.0,4,2220,01,15
Meteor,0,0.0,4,2220,02,15
Meteor,0,0.0,4,2220,03,15
Meteor,22,5.8,4,2220,01,16
Meteor,14,4.4,4,2220,02,16
Meteor,0,0.0,4,2220,03,16
