location,snow_depth,snow_water_equivalent,elevation_band,elevation,month,year
"Big Goose",14,3.0,7,7990,01,00
"Big Goose",26,5.1,7,7990,02,00
"Big Goose",28,6.6,7,7990,03,00
"Big Goose",31,8.4,7,7990,04,00
"Big Goose",19,6.9,7,7990,05,00
"Big Goose",0,0.0,7,7990,06,00
"Big Goose",12,3.0,7,7990,01,01
"Big Goose",17,3.8,7,7990,02,01
"Big Goose",20,4.6,7,7990,03,01
"Big Goose",24,5.8,7,7990,04,01
"Big Goose",11,4.4,7,7990,05,01
"Big Goose",0,0.0,7,7990,06,01
"Big Goose",13,3.3,7,7990,01,02
"Big Goose",20,4.5,7,7990,02,02
"Big Goose",27,5.8,7,7990,03,02
"Big Goose",32,8.3,7,7990,04,02
"Big Goose",28,8.3,7,7990,05,02
"Big Goose",0,0.0,7,7990,06,02
"Big Goose",15,3.6,7,7990,01,03
"Big Goose",22,5.0,7,7990,02,03
"Big Goose",30,7.1,7,7990,03,03
"Big Goose",47,12.5,7,7990,04,03
"Big Goose",36,10.8,7,7990,05,03
"Big Goose",0,0.0,7,7990,06,03
"Big Goose",21,4.0,7,7990,01,04
"Big Goose",21,4.7,7,7990,02,04
"Big Goose",41,7.2,7,7990,03,04
"Big Goose",20,7.0,7,7990,04,04
"Big Goose",15,5.1,7,7990,05,04
"Big Goose",0,0.0,7,7990,06,04
"Big Goose",12,3.2,7,7990,01,05
"Big Goose",17,4.1,7,7990,02,05
"Big Goose",21,5.2,7,7990,03,05
"Big Goose",30,7.9,7,7990,04,05
"Big Goose",27,8.5,7,7990,05,05
"Big Goose",0,0.0,7,7990,06,05
"Big Goose",16,3.2,7,7990,01,06
"Big Goose",21,4.0,7,7990,02,06
"Big Goose",24,5.3,7,7990,03,06
"Big Goose",26,6.7,7,7990,04,06
"Big Goose",11,4.0,7,7990,05,06
"Big Goose",0,0.0,7,7990,06,06
"Big Goose",12,2.5,7,7990,01,07
"Big Goose",20,3.7,7,7990,02,07
"Big Goose",22,5.3,7,7990,03,07
"Big Goose",47,9.4,7,7990,04,07
"Big Goose",19,7.9,7,7990,05,07
"Big Goose",0,0.0,7,7990,06,07
"Big Goose",19,4.0,7,7990,01,08
"Big Goose",22,5.3,7,7990,02,08
"Big Goose",25,6.4,7,7990,03,08
"Big Goose",42,9.3,7,7990,04,08
"Big Goose",31,10.1,7,7990,05,08
"Big Goose",12,5.0,7,7990,06,08
"Big Goose",17,3.9,7,7990,01,09
"Big Goose",26,5.9,7,7990,02,09
"Big Goose",29,6.9,7,7990,03,09
"Big Goose",45,10.1,7,7990,04,09
"Big Goose",33,10.8,7,7990,05,09
"Big Goose",0,0.0,7,7990,06,09
"Big Goose",19,3.9,7,7990,01,10
"Big Goose",19,4.5,7,7990,02,10
"Big Goose",24,5.6,7,7990,03,10
"Big Goose",31,7.5,7,7990,04,10
"Big Goose",30,8.7,7,7990,05,10
"Big Goose",15,5.6,7,7990,06,10
"Big Goose",17,2.8,7,7990,01,11
"Big Goose",25,5.2,7,7990,02,11
"Big Goose",26,6.0,7,7990,03,11
"Big Goose",35,8.6,7,7990,04,11
"Big Goose",47,13.1,7,7990,05,11
"Big Goose",36,13.2,7,7990,06,11
"Big Goose",30,6.0,7,7990,01,12
"Big Goose",29,7.1,7,7990,02,12
"Big Goose",42,9.2,7,7990,03,12
"Big Goose",23,7.8,7,7990,04,12
"Big Goose",8,3.0,7,7990,05,12
"Big Goose",0,0.0,7,7990,06,12
"Big Goose",13,2.3,7,7990,01,13
"Big Goose",23,3.7,7,7990,02,13
"Big Goose",27,5.2,7,7990,03,13
"Big Goose",26,6.7,7,7990,04,13
"Big Goose",33,9.1,7,7990,05,13
"Big Goose",1,0.3,7,7990,06,13
"Big Goose",21,4.5,7,7990,01,14
"Big Goose",26,5.6,7,7990,02,14
"Big Goose",41,8.3,7,7990,03,14
"Big Goose",51,12.7,7,7990,04,14
"Big Goose",43,13.2,7,7990,05,14
"Big Goose",0,0.0,7,7990,06,14
"Big Goose",20,4.0,7,7990,01,15
"Big Goose",21,4.8,7,7990,02,15
"Big Goose",32,6.9,7,7990,03,15
"Big Goose",20,6.8,7,7990,04,15
"Big Goose",21,7.4,7,7990,05,15
"Big Goose",0,0.0,7,7990,06,15
"Big Goose",12,1.8,7,7990,01,16
"Big Goose",14,2.6,7,7990,02,16
"Big Goose",15,3.5,7,7990,03,16
"Big Goose",38,7.6,7,7990,04,16
"Big Goose",35,10.2,7,7990,05,16
"Big Goose",0,0.0,7,7990,06,16
