location,snow_depth,snow_water_equivalent,elevation_band,elevation,month,year
"Larsen Creek",34,7.6,8,9000,01,11
"Larsen Creek",33,9.4,8,9000,02,11
"Larsen Creek",50,12.3,8,9000,03,11
"Larsen Creek",48,15.9,8,9000,04,11
"Larsen Creek",44,18.0,8,9000,05,11
"Larsen Creek",21,8.0,8,9000,06,11
"Larsen Creek",12,2.5,8,9000,01,12
"Larsen Creek",31,7.2,8,9000,02,12
"Larsen Creek",43,10.5,8,9000,03,12
"Larsen Creek",22,9.6,8,9000,04,12
"Larsen Creek",0,0.0,8,9000,05,12
"Larsen Creek",0,0.0,8,9000,06,12
"Larsen Creek",20,4.6,8,9000,01,13
"Larsen Creek",21,5.3,8,9000,02,13
"Larsen Creek",24,5.9,8,9000,03,13
"Larsen Creek",15,5.7,8,9000,04,13
"Larsen Creek",0,0.0,8,9000,05,13
"Larsen Creek",0,0.0,8,9000,06,13
"Larsen Creek",12,2.1,8,9000,01,14
"Larsen Creek",22,4.5,8,9000,02,14
"Larsen Creek",48,10.8,8,9000,03,14
"Larsen Creek",44,14.0,8,9000,04,14
"Larsen Creek",18,7.8,8,9000,05,14
"Larsen Creek",0,0.0,8,9000,06,14
"Larsen Creek",21,4.1,8,9000,01,15
"Larsen Creek",17,4.7,8,9000,02,15
"Larsen Creek",24,6.0,8,9000,03,15
"Larsen Creek",8,3.1,8,9000,04,15
"Larsen Creek",0,0.0,8,9000,05,15
"Larsen Creek",0,0.0,8,9000,06,15
"Larsen Creek",13,2.6,8,9000,01,16
"Larsen Creek",19,3.9,8,9000,02,16
"Larsen Creek",22,5.6,8,9000,03,16
"Larsen Creek",39,9.7,8,9000,04,16
"Larsen Creek",19,6.4,8,9000,05,16
"Larsen Creek",0,0.0,8,9000,06,16
