location,snow_depth,snow_water_equivalent,elevation_band,elevation,month,year
"Purgatory Gulch",23,5.9,8,8970,01,00
"Purgatory Gulch",33,8.2,8,8970,02,00
"Purgatory Gulch",33,10.8,8,8970,03,00
"Purgatory Gulch",22,8.7,8,8970,04,00
"Purgatory Gulch",26,7.0,8,8970,01,01
"Purgatory Gulch",38,10.4,8,8970,02,01
"Purgatory Gulch",36,11.3,8,8970,03,01
"Purgatory Gulch",35,13.4,8,8970,04,01
"Purgatory Gulch",21,6.2,8,8970,01,02
"Purgatory Gulch",26,6.5,8,8970,02,02
"Purgatory Gulch",36,10.4,8,8970,04,02
"Purgatory Gulch",19,5.1,8,8970,04,02
"Purgatory Gulch",17,3.4,8,8970,01,03
"Purgatory Gulch",28,5.0,8,8970,02,03
"Purgatory Gulch",46,12.8,8,8970,03,03
"Purgatory Gulch",34,12.5,8,8970,04,03
"Purgatory Gulch",30,9.0,8,8970,01,04
"Purgatory Gulch",35,3.4,8,8970,02,04
"Purgatory Gulch",29,10.5,8,8970,03,04
"Purgatory Gulch",18,7.4,8,8970,04,04
"Purgatory Gulch",25,6.9,8,8970,01,05
"Purgatory Gulch",35,8.7,8,8970,02,05
"Purgatory Gulch",38,10.5,8,8970,04,05
"Purgatory Gulch",31,9.5,8,8970,05,05
"Purgatory Gulch",31,7.7,8,8970,01,06
"Purgatory Gulch",31,7.7,8,8970,01,06
"Purgatory Gulch",33,9.2,8,8970,02,06
"Purgatory Gulch",41,11.6,8,8970,03,06
"Purgatory Gulch",24,8.0,8,8970,04,06
"Purgatory Gulch",29,7.3,8,8970,01,07
"Purgatory Gulch",38,9.0,8,8970,02,07
"Purgatory Gulch",37,9.0,8,8970,03,07
"Purgatory Gulch",25,8.4,8,8970,04,07
"Purgatory Gulch",33,7.8,8,8970,01,08
"Purgatory Gulch",42,11.0,8,8970,02,08
"Purgatory Gulch",42,12.2,8,8970,03,08
"Purgatory Gulch",43,16.6,8,8970,04,08
"Purgatory Gulch",40,10.0,8,8970,01,09
"Purgatory Gulch",40,12.4,8,8970,02,09
"Purgatory Gulch",42,12.8,8,8970,03,09
"Purgatory Gulch",35,13.8,8,8970,04,09
"Purgatory Gulch",28,6.8,8,8970,01,10
"Purgatory Gulch",34,8.4,8,8970,02,10
"Purgatory Gulch",45,11.6,8,8970,03,10
"Purgatory Gulch",39,11.6,8,8970,04,10
"Purgatory Gulch",39,10.4,8,8970,01,11
"Purgatory Gulch",48,13.2,8,8970,02,11
"Purgatory Gulch",50,15.6,8,8970,03,11
"Purgatory Gulch",51,18.6,8,8970,04,11
"Purgatory Gulch",34,8.0,8,8970,01,12
"Purgatory Gulch",41,10.4,8,8970,02,12
"Purgatory Gulch",24,6.4,8,8970,03,12
"Purgatory Gulch",0,0.0,8,8970,04,12
"Purgatory Gulch",24,5.4,8,8970,01,13
"Purgatory Gulch",36,8.2,8,8970,02,13
"Purgatory Gulch",35,9.5,8,8970,03,13
"Purgatory Gulch",38,13.6,8,8970,04,13
"Purgatory Gulch",33,7.8,8,8970,01,14
"Purgatory Gulch",39,11.8,8,8970,02,14
"Purgatory Gulch",43,13.4,8,8970,03,14
"Purgatory Gulch",26,9.0,8,8970,04,14
"Purgatory Gulch",19,4.8,8,8970,01,15
"Purgatory Gulch",27,6.2,8,8970,02,15
"Purgatory Gulch",25,7.6,8,8970,03,15
"Purgatory Gulch",12,5.0,8,8970,04,15
"Purgatory Gulch",37,8.8,8,8970,01,16
"Purgatory Gulch",37,10.6,8,8970,02,16
"Purgatory Gulch",42,13.6,8,8970,03,16
"Purgatory Gulch",36,13.0,8,8970,04,16
